#{"t_start": 1729278991.584714, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,202,5.477679
2.0,234,7.140959
1.0,204,8.678571
5.0,362,12.490021
1.0,185,13.722008
2.0,245,15.984124
6.0,445,19.635765
0.0,179,20.719777
3.0,281,23.379512
1.0,196,24.763184
3.0,258,27.124799
2.0,242,28.805071
2.0,246,30.481408
1.0,207,31.915908
1.0,201,33.436529
0.0,167,34.481283
5.0,335,37.090047
1.0,200,38.774181
2.0,247,40.660609
4.0,277,42.883889
1.0,197,44.584684
1.0,215,45.972078
0.0,154,47.056772
2.0,252,48.830116
5.0,376,52.206655
2.0,215,53.750225
1.0,201,55.458861
2.0,208,56.774286
9.0,367,59.809045
2.0,233,61.848307
0.0,178,62.941486
3.0,295,65.177345
2.0,228,67.164161
4.0,303,69.616498
1.0,191,70.972719
2.0,271,73.334931
2.0,238,74.886815
2.0,218,76.481176
1.0,214,78.19708
5.0,339,80.8228
3.0,280,83.215173
3.0,272,85.179318
1.0,188,86.373897
6.0,416,89.951872
3.0,285,92.078602
4.0,291,94.573182
3.0,285,96.598985
2.0,227,98.518047
1.0,224,99.873294
2.0,246,101.546037
2.0,236,103.515031
2.0,229,105.10156
4.0,305,107.352338
7.0,391,110.828035
6.0,412,114.065776
4.0,287,116.220558
3.0,286,118.536465
4.0,301,120.761794
3.0,245,122.282948
3.0,271,124.424563
4.0,306,126.481044
10.0,438,130.083473
3.0,252,131.863919
2.0,220,133.665456
8.0,318,138.356569
5.0,353,141.208711
5.0,361,143.751844
8.0,468,147.718311
7.0,429,151.373275
5.0,331,153.537034
8.0,451,157.381433
10.0,461,161.071514
5.0,334,163.489047
4.0,289,165.748512
5.0,330,168.191465
3.0,266,169.831443
5.0,365,172.696668
5.0,330,174.988238
4.0,283,177.1551
7.0,275,179.139705
1.0,170,180.646732
8.0,469,184.035358
6.0,382,187.115536
12.0,660,192.264605
3.0,266,193.994441
4.0,298,196.213859
4.0,305,198.077821
6.0,368,201.006521
8.0,434,204.57951
8.0,469,207.878266
8.0,418,211.271783
13.0,678,216.695313
13.0,569,221.321463
10.0,596,226.031806
8.0,457,229.530639
7.0,404,232.540364
5.0,328,234.896022
8.0,466,238.622029
7.0,440,242.206802
9.0,462,245.582198
9.0,571,250.106231
11.0,497,253.894814
16.0,685,262.863819
12.0,640,268.179649
8.0,531,271.939927
12.0,513,275.939596
12.0,494,279.739301
15.0,730,285.491889
13.0,560,289.948861
14.0,582,294.696621
8.0,466,298.280348
5.0,367,300.956728
14.0,615,305.85053
13.0,694,311.24947
9.0,480,315.055537
7.0,409,317.861836
8.0,474,321.435821
14.0,560,325.999413
13.0,677,331.335665
14.0,599,336.094044
10.0,528,340.134514
12.0,604,344.867263
17.0,583,349.508648
10.0,518,353.547326
13.0,538,357.723522
11.0,570,362.170065
15.0,646,367.146805
10.0,535,374.890825
13.0,546,379.069837
8.0,457,382.542706
11.0,497,386.419927
17.0,706,391.84155
13.0,616,396.583798
13.0,571,401.073308
9.0,492,404.783942
13.0,612,409.573783
18.0,634,414.603842
9.0,476,418.274737
15.0,653,423.410149
6.0,379,425.972658
14.0,636,431.392887
13.0,682,436.736359
19.0,690,442.183646
11.0,540,446.25287
8.0,453,449.69801
10.0,524,453.402622
9.0,478,457.09612
12.0,603,461.583621
13.0,645,466.659791
14.0,656,471.978693
13.0,546,475.767891
14.0,570,480.16214
8.0,459,487.033656
17.0,591,491.605051
15.0,552,496.020571
16.0,609,500.82805
14.0,696,506.658664
8.0,520,510.223503
12.0,582,514.885836
23.0,761,521.158427
9.0,484,524.767236
9.0,515,528.448272
15.0,590,533.018656
7.0,454,536.545588
13.0,503,540.402296
15.0,640,545.286203
13.0,551,549.52519
20.0,758,555.491772
17.0,732,561.424063
17.0,664,566.454214
9.0,535,570.553815
20.0,731,576.241242
16.0,666,581.309693
15.0,664,586.544933
16.0,592,591.147764
13.0,657,596.481886
17.0,676,605.382782
15.0,721,611.157426
15.0,592,615.773926
17.0,692,621.254015
10.0,549,625.352769
11.0,555,629.508501
14.0,662,634.607938
12.0,588,639.12315
16.0,630,643.815508
8.0,428,647.0714
20.0,803,653.63603
11.0,546,657.873949
18.0,728,663.409556
8.0,471,666.94596
11.0,562,671.359251
18.0,870,678.078095
24.0,803,684.464507
16.0,777,690.425219
13.0,634,695.245315
6.0,391,698.231127
18.0,696,703.693817
15.0,654,712.385483
12.0,614,717.227662
21.0,739,722.899493
14.0,608,727.629148
15.0,734,733.423816
22.0,687,738.627399
19.0,742,744.407632
15.0,703,749.737248
15.0,690,755.34293
15.0,748,761.092778
17.0,689,766.235728
18.0,729,771.802013
22.0,755,777.979287
11.0,561,782.117668
18.0,712,787.643835
18.0,642,792.556301
16.0,730,798.281717
19.0,736,804.377843
16.0,619,809.030306
15.0,700,814.270323
14.0,708,819.749501
18.0,735,829.647537
19.0,774,835.550889
26.0,726,841.095892
19.0,704,846.856371
14.0,671,851.995013
24.0,723,857.426223
19.0,778,863.426771
20.0,810,869.929696
11.0,434,872.872911
14.0,651,878.155097
12.0,645,882.901294
11.0,468,886.052762
17.0,680,891.668775
18.0,629,896.528285
7.0,423,899.352363
17.0,711,905.12077
25.0,865,911.651505
14.0,704,917.488093
9.0,511,920.978223
24.0,864,928.01377
24.0,797,937.970857
10.0,504,941.83048
16.0,773,948.066074
20.0,741,953.654566
18.0,618,958.349337
19.0,855,965.335899
14.0,676,970.498662
17.0,679,975.722449
22.0,928,983.108011
20.0,806,989.521125
16.0,787,995.354818
21.0,802,1001.790712
20.0,766,1007.639918
15.0,725,1013.437147
13.0,636,1018.299869
16.0,689,1023.429778
15.0,749,1029.043654
15.0,611,1033.655109
11.0,612,1038.229617
9.0,477,1041.85067
13.0,639,1051.177216
14.0,699,1056.50035
21.0,766,1062.765454
16.0,619,1067.481549
11.0,577,1071.829287
22.0,887,1078.55367
17.0,643,1083.500416
17.0,790,1089.892613
14.0,586,1094.222438
28.0,784,1100.157474
29.0,880,1107.347856
14.0,687,1112.533265
18.0,729,1118.056595
15.0,727,1123.934957
17.0,643,1128.922775
13.0,641,1133.687936
17.0,652,1138.760803
24.0,845,1145.669606
25.0,677,1150.93447
19.0,732,1160.363872
15.0,695,1165.609727
18.0,712,1171.26567
26.0,893,1178.037117
19.0,786,1184.440477
32.0,894,1191.242332
26.0,781,1197.67483
16.0,783,1203.690584
16.0,613,1208.285598
13.0,639,1213.134097
13.0,648,1217.942557
19.0,738,1223.939127
25.0,832,1230.176553
21.0,808,1236.483655
17.0,673,1241.880423
16.0,737,1247.56068
21.0,816,1253.854942
14.0,680,1259.580091
13.0,652,1264.640471
14.0,690,1273.53401
10.0,524,1277.553636
20.0,637,1282.355421
20.0,760,1288.194439
10.0,544,1292.163908
14.0,659,1297.268361
11.0,557,1301.390926
13.0,678,1306.878145
19.0,799,1312.948412
16.0,590,1317.386295
23.0,758,1323.233966
18.0,838,1329.888784
16.0,615,1334.490446
19.0,715,1339.961782
26.0,729,1345.566772
