#{"t_start": 1729278991.4309773, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,248,6.186924
3.0,292,8.544884
1.0,202,10.733364
1.0,204,11.97184
1.0,185,13.226321
1.0,192,14.579622
0.0,157,16.022569
1.0,226,17.57546
2.0,242,19.292387
0.0,165,20.328928
1.0,220,22.156194
1.0,182,23.401613
0.0,148,24.342531
3.0,289,26.653634
3.0,271,29.058105
4.0,321,31.579128
6.0,397,35.323055
0.0,166,36.364847
2.0,238,38.333383
1.0,186,39.612573
2.0,260,41.576647
0.0,180,42.610649
3.0,257,45.002216
4.0,326,47.649085
0.0,168,48.539529
0.0,175,49.8809
2.0,246,51.621091
0.0,175,52.565474
1.0,198,53.998122
2.0,238,55.948688
2.0,241,57.742002
2.0,234,59.28699
1.0,185,60.887939
1.0,198,62.373844
0.0,163,63.389844
4.0,335,66.369886
2.0,236,68.076468
3.0,293,70.40714
2.0,240,72.439861
2.0,226,74.118612
1.0,193,75.371095
1.0,213,77.131261
2.0,236,78.861908
1.0,206,80.11584
5.0,350,82.938094
6.0,408,86.254135
6.0,411,89.924255
5.0,374,93.206375
5.0,375,96.260679
5.0,374,99.386717
3.0,271,101.240266
2.0,221,102.753501
4.0,309,105.383182
2.0,236,106.87272
4.0,325,109.582204
5.0,378,112.329633
8.0,507,116.719875
4.0,312,119.110929
3.0,271,120.867963
5.0,349,123.857986
4.0,269,125.854293
8.0,427,129.494485
4.0,308,131.707845
6.0,402,135.027594
6.0,399,140.229974
3.0,296,142.568832
5.0,370,145.178661
10.0,414,148.766771
7.0,271,151.005463
7.0,442,154.286542
7.0,418,157.757865
4.0,285,159.581438
2.0,213,161.271117
6.0,355,163.929038
8.0,327,166.566499
6.0,387,169.301938
7.0,431,172.692813
3.0,267,174.610628
11.0,485,178.703511
3.0,273,180.954095
9.0,586,185.521483
3.0,261,187.21524
9.0,475,191.00631
10.0,513,195.274414
12.0,537,199.749477
10.0,573,203.839191
6.0,380,206.807334
9.0,547,211.10232
12.0,481,215.079346
10.0,570,219.434656
12.0,591,224.244536
14.0,620,229.146979
6.0,405,232.15089
7.0,410,235.019873
9.0,509,239.085202
5.0,331,241.587481
12.0,506,245.273058
7.0,436,248.776596
7.0,413,252.080138
9.0,480,259.266706
8.0,426,262.319409
7.0,404,265.441228
13.0,582,270.07385
10.0,547,274.463998
12.0,512,278.507024
13.0,573,282.95271
10.0,538,287.114298
6.0,418,289.907499
4.0,289,292.095391
14.0,603,296.973037
11.0,569,301.383279
11.0,487,305.066169
5.0,318,307.23566
14.0,533,311.321029
16.0,552,315.786859
12.0,493,319.521554
13.0,529,323.874535
6.0,360,326.255166
18.0,730,331.920531
10.0,577,336.390804
10.0,545,340.505233
8.0,427,343.927986
17.0,667,349.260638
12.0,599,353.95398
17.0,690,359.806873
10.0,495,363.405509
12.0,523,367.378348
13.0,681,376.267774
12.0,582,380.858384
12.0,626,386.017103
14.0,598,390.779814
12.0,502,394.290958
17.0,599,398.873952
10.0,554,403.02722
7.0,439,406.414443
16.0,569,410.879299
8.0,480,414.56061
9.0,476,418.27566
12.0,617,423.094808
15.0,599,427.803368
14.0,706,433.329842
17.0,581,437.95567
11.0,578,442.284337
17.0,651,447.473863
4.0,285,449.517715
15.0,598,454.182103
18.0,681,459.619541
14.0,534,463.680916
8.0,429,466.600369
13.0,623,471.318173
22.0,766,477.573608
16.0,643,482.617058
14.0,559,490.509882
20.0,671,495.685557
13.0,539,499.869287
9.0,475,503.478595
9.0,457,507.03899
21.0,759,512.925817
14.0,588,517.462706
16.0,658,522.468187
7.0,461,525.889266
12.0,530,529.81354
21.0,732,535.37452
11.0,592,540.094846
16.0,638,544.900202
17.0,682,550.24434
15.0,715,556.216329
10.0,526,559.849969
17.0,676,565.329006
5.0,340,567.593328
16.0,656,572.596776
13.0,687,578.176044
11.0,580,582.656221
18.0,632,587.98863
13.0,644,592.97103
14.0,619,601.313669
25.0,832,607.83422
7.0,417,611.011306
13.0,628,615.867671
14.0,661,620.960108
