#{"t_start": 1729278991.7389975, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,217,5.517923
1.0,207,6.8275
4.0,294,9.360445
5.0,353,12.855194
2.0,239,14.547169
0.0,150,15.981483
0.0,159,16.994982
3.0,273,18.850212
2.0,218,20.586464
0.0,162,22.013436
2.0,261,23.834977
1.0,189,25.224193
2.0,228,27.250929
0.0,165,28.168145
1.0,199,29.517618
0.0,152,30.427245
6.0,389,33.998773
2.0,227,35.712159
0.0,177,36.685004
1.0,208,38.323838
3.0,282,40.359269
1.0,204,41.798082
2.0,240,43.932637
3.0,288,46.137778
2.0,218,47.85721
2.0,231,49.841308
1.0,230,51.357364
2.0,237,53.117798
5.0,342,56.086902
1.0,216,57.525444
2.0,258,59.22406
2.0,248,61.177505
2.0,221,62.986419
1.0,184,64.271761
2.0,220,66.305768
3.0,282,68.419144
0.0,178,69.395521
3.0,319,72.209458
2.0,248,74.043991
4.0,332,77.128057
2.0,225,78.594971
5.0,385,81.673338
2.0,222,83.606369
1.0,179,84.722504
0.0,161,85.795771
1.0,194,87.018356
2.0,245,88.894684
3.0,245,90.704729
4.0,288,93.157085
3.0,278,95.239322
2.0,219,96.745426
5.0,336,99.752243
6.0,374,102.793133
4.0,324,105.687943
3.0,248,107.379942
3.0,291,109.785763
5.0,341,112.324845
3.0,270,114.437434
5.0,371,117.139391
9.0,494,121.263535
6.0,370,124.311773
6.0,375,127.152244
8.0,325,129.856492
7.0,403,133.044558
7.0,395,138.763624
4.0,335,141.459674
4.0,343,143.724783
3.0,244,145.761994
6.0,362,148.541015
4.0,290,150.851325
7.0,400,153.838603
3.0,244,155.811352
11.0,308,158.037974
3.0,232,159.511693
7.0,407,162.783612
8.0,315,165.468886
10.0,414,168.700275
13.0,575,173.516046
3.0,255,175.470431
6.0,366,178.046693
14.0,510,182.324046
8.0,432,185.887191
11.0,488,189.371113
7.0,424,192.833011
3.0,290,195.064999
7.0,418,198.063923
11.0,583,202.727931
8.0,470,206.33225
12.0,512,210.428835
12.0,519,214.56512
11.0,467,218.283251
9.0,508,221.98314
9.0,486,225.825967
5.0,331,228.361625
9.0,514,232.498375
10.0,546,236.859212
7.0,410,239.855016
8.0,309,242.254799
7.0,442,245.311838
6.0,390,248.349718
8.0,470,252.123872
8.0,433,258.916038
9.0,492,262.525219
11.0,576,267.153112
6.0,379,270.048966
9.0,519,274.098026
6.0,401,277.133363
7.0,391,279.867371
8.0,477,283.550842
10.0,584,288.158126
8.0,444,291.578369
5.0,301,293.570466
10.0,531,297.886894
13.0,536,302.158388
8.0,432,305.62692
12.0,616,310.347513
9.0,471,313.995244
18.0,767,320.070174
13.0,623,325.035176
7.0,410,328.155411
8.0,455,331.130151
8.0,446,334.603036
9.0,531,338.721496
11.0,561,342.983607
8.0,446,346.490506
8.0,444,349.49083
13.0,637,354.475566
9.0,493,358.225008
10.0,534,362.441351
15.0,718,368.510311
9.0,452,375.250711
5.0,354,377.952138
8.0,471,381.617615
8.0,439,384.623789
9.0,478,388.444539
14.0,668,393.581034
9.0,518,397.565321
16.0,681,402.838279
18.0,712,408.836648
10.0,531,412.873443
10.0,529,416.799545
8.0,452,420.37203
10.0,521,424.423394
14.0,557,428.878671
10.0,485,432.634245
17.0,625,437.413058
7.0,413,440.476825
15.0,609,445.076215
14.0,603,449.825279
11.0,546,453.901319
16.0,692,459.260867
15.0,634,464.120293
10.0,563,468.439667
19.0,786,474.491647
15.0,601,479.122168
13.0,659,487.718641
14.0,558,492.02627
10.0,534,496.167371
9.0,487,499.893856
5.0,308,502.227154
16.0,739,507.995309
18.0,757,513.898715
9.0,493,517.740546
12.0,568,522.212767
19.0,807,528.495014
14.0,573,532.816426
20.0,720,538.921766
15.0,640,543.798719
10.0,579,548.229074
5.0,333,550.415702
17.0,606,554.983334
17.0,710,560.922
6.0,407,563.598569
10.0,561,568.05844
21.0,808,574.567985
11.0,468,577.706828
8.0,477,581.394805
10.0,535,585.478253
14.0,567,589.837625
10.0,550,594.139892
11.0,602,602.239593
6.0,357,604.834513
10.0,564,609.208023
9.0,452,612.36568
13.0,533,616.54082
13.0,573,620.971227
21.0,616,625.783556
13.0,674,631.364296
10.0,493,634.891325
10.0,513,638.825234
14.0,802,645.251774
12.0,604,649.980083
12.0,602,654.412407
14.0,693,659.717913
15.0,643,664.610683
10.0,572,668.955258
7.0,429,672.244
13.0,617,676.971354
8.0,438,680.34435
12.0,604,685.054347
12.0,633,689.8724
22.0,803,696.132118
14.0,411,699.361114
8.0,448,702.657686
14.0,687,708.042293
12.0,610,716.451971
16.0,733,721.974513
17.0,684,727.239877
10.0,520,731.178865
20.0,783,737.601002
17.0,738,743.102461
10.0,518,747.043925
17.0,671,752.017037
12.0,600,756.691185
25.0,856,763.536453
21.0,773,769.493208
15.0,755,775.171957
20.0,752,781.368395
12.0,595,786.002508
18.0,690,791.226212
18.0,732,796.737084
13.0,503,800.528508
11.0,570,804.912992
13.0,639,809.727387
17.0,744,815.426926
18.0,681,824.877131
13.0,701,830.170384
12.0,651,835.28354
19.0,750,841.076227
19.0,903,848.297698
12.0,619,852.968541
18.0,688,858.331403
12.0,607,862.897521
15.0,778,869.142709
15.0,695,874.469381
19.0,754,880.206893
12.0,613,884.947952
21.0,867,891.879583
18.0,664,896.988044
16.0,697,902.24524
16.0,665,907.215088
15.0,738,913.116194
14.0,725,918.809084
14.0,671,923.942955
18.0,715,929.461054
18.0,735,939.20557
11.0,597,943.825106
16.0,746,949.600543
14.0,759,955.351931
21.0,808,961.781873
25.0,744,967.499532
28.0,875,974.565834
15.0,579,978.940912
15.0,696,984.261624
11.0,577,988.700822
10.0,582,992.985069
27.0,755,998.817735
19.0,720,1004.667763
26.0,775,1010.480346
12.0,631,1015.428562
12.0,606,1019.998057
9.0,486,1023.564514
26.0,796,1029.756059
14.0,729,1035.608843
25.0,820,1042.02485
14.0,558,1050.701788
16.0,767,1056.4919
23.0,845,1063.199563
16.0,760,1068.988041
16.0,669,1074.067313
11.0,592,1078.519989
12.0,611,1083.189892
13.0,628,1088.341244
17.0,673,1093.549081
15.0,749,1099.263744
13.0,656,1104.22746
12.0,619,1108.978587
20.0,768,1115.23644
15.0,715,1120.66282
22.0,814,1126.989004
13.0,541,1131.019378
19.0,705,1136.769231
22.0,803,1142.9304
13.0,644,1147.96954
15.0,571,1152.266848
25.0,813,1162.527416
24.0,944,1169.730402
16.0,656,1174.758785
22.0,797,1181.090304
15.0,717,1186.609644
19.0,728,1192.141053
24.0,827,1198.852308
15.0,713,1204.241861
21.0,814,1210.790347
11.0,595,1215.21944
21.0,857,1221.80476
17.0,671,1226.782019
26.0,831,1233.364212
19.0,727,1239.004741
17.0,667,1244.120994
18.0,745,1250.113183
14.0,693,1255.368884
15.0,741,1261.020542
19.0,647,1269.565244
18.0,742,1275.087991
12.0,599,1279.712943
14.0,709,1285.435374
20.0,615,1290.090907
26.0,888,1296.816075
21.0,781,1303.25102
17.0,674,1308.402562
24.0,881,1315.39369
9.0,514,1318.835776
20.0,872,1325.827314
24.0,798,1331.986215
18.0,703,1337.635867
18.0,730,1343.091967
21.0,816,1349.383576
15.0,740,1355.45331
21.0,811,1361.557532
17.0,663,1366.656093
13.0,672,1371.784404
21.0,784,1382.960046
26.0,951,1390.453686
14.0,703,1395.888514
22.0,710,1401.288579
15.0,695,1406.564568
16.0,763,1412.570169
23.0,781,1418.4561
16.0,760,1424.106166
20.0,801,1430.524456
13.0,663,1435.452621
14.0,672,1440.613255
12.0,610,1445.20173
18.0,815,1451.820322
20.0,689,1457.170875
20.0,761,1462.935116
22.0,783,1469.2082
17.0,816,1475.459841
20.0,801,1481.529299
20.0,677,1487.063273
26.0,883,1498.133174
19.0,771,1504.361263
12.0,607,1509.0371
22.0,755,1514.627142
28.0,894,1521.340289
14.0,710,1526.959822
14.0,668,1532.011689
25.0,872,1538.71329
15.0,776,1544.830514
25.0,844,1551.344393
18.0,686,1556.38987
13.0,641,1561.560491
23.0,822,1567.775516
14.0,533,1571.708712
16.0,746,1577.373327
23.0,805,1583.859973
20.0,805,1589.98159
23.0,738,1595.621865
17.0,765,1606.19613
29.0,927,1613.182714
18.0,682,1618.742114
23.0,831,1624.991897
33.0,838,1631.63514
32.0,957,1638.998186
21.0,828,1645.721054
17.0,753,1651.505556
25.0,946,1659.118947
20.0,623,1663.890547
19.0,725,1669.543907
24.0,824,1676.085561
14.0,625,1680.891659
29.0,886,1687.576117
21.0,684,1693.112425
16.0,674,1698.372797
20.0,794,1704.347864
17.0,687,1709.528545
25.0,878,1720.581788
24.0,740,1726.155344
20.0,767,1732.236714
28.0,912,1739.114214
18.0,739,1745.104055
16.0,797,1751.154599
18.0,788,1757.131094
13.0,654,1762.47548
12.0,580,1766.752566
32.0,916,1773.758207
35.0,1044,1781.956235
20.0,615,1786.585476
21.0,791,1792.861016
14.0,679,1798.131455
15.0,719,1803.631509
12.0,617,1808.216885
14.0,729,1813.700704
14.0,682,1819.114866
16.0,764,1829.951949
24.0,891,1836.601606
22.0,785,1842.956933
11.0,558,1847.136902
16.0,716,1852.568204
17.0,739,1858.218846
25.0,799,1864.639772
21.0,787,1870.518338
19.0,804,1876.845952
31.0,918,1883.75813
24.0,777,1890.057589
20.0,867,1896.711404
19.0,689,1901.903358
14.0,598,1906.497226
27.0,866,1913.36475
34.0,958,1921.052242
23.0,883,1927.752603
23.0,806,1939.350446
23.0,837,1945.754507
13.0,677,1950.912527
20.0,801,1957.351504
19.0,624,1962.160881
14.0,663,1967.17026
29.0,833,1973.948206
16.0,781,1980.043717
18.0,685,1985.232941
29.0,821,1991.696934
21.0,666,1996.776351
25.0,887,2003.503013
26.0,836,2010.361206
14.0,716,2015.739303
31.0,646,2020.643355
24.0,869,2027.744572
28.0,862,2034.727829
17.0,686,2039.849847
22.0,684,2044.990617
12.0,575,2053.771699
17.0,740,2059.491863
27.0,963,2067.142163
31.0,870,2074.158983
28.0,838,2080.431166
15.0,713,2085.802768
25.0,735,2091.646038
16.0,672,2096.876887
16.0,610,2101.532963
16.0,624,2106.245405
16.0,720,2111.686258
18.0,719,2117.276133
23.0,854,2124.177739
14.0,752,2129.982363
24.0,892,2136.957302
22.0,754,2142.601164
14.0,662,2147.69346
19.0,783,2153.864459
11.0,558,2162.790775
13.0,608,2167.304539
16.0,738,2172.950975
17.0,627,2177.679133
27.0,866,2184.623157
22.0,734,2190.269991
20.0,633,2195.053233
23.0,908,2202.425439
20.0,824,2208.75013
25.0,805,2215.260134
15.0,649,2220.285967
18.0,816,2226.376603
17.0,792,2232.67336
27.0,794,2238.855903
14.0,665,2243.934528
15.0,718,2249.744894
32.0,998,2257.438801
26.0,901,2264.498086
16.0,785,2275.298135
15.0,716,2281.028805
24.0,931,2288.181464
36.0,912,2295.385212
14.0,605,2300.099657
21.0,829,2306.512053
15.0,688,2312.061167
13.0,609,2316.731012
16.0,772,2322.50719
15.0,730,2328.043731
13.0,613,2332.64884
12.0,635,2337.914407
27.0,875,2344.527672
16.0,771,2350.349484
20.0,808,2356.72313
30.0,936,2364.139624
13.0,679,2369.374523
18.0,732,2374.996493
26.0,911,2386.258385
26.0,730,2391.828729
20.0,885,2398.927948
22.0,732,2404.444753
30.0,972,2412.110732
18.0,714,2417.509439
20.0,772,2423.270339
18.0,699,2428.478289
27.0,810,2434.816155
23.0,933,2442.36476
17.0,825,2448.593717
16.0,638,2453.422699
19.0,714,2458.765842
20.0,759,2464.943023
33.0,893,2471.778155
12.0,617,2476.464688
34.0,994,2484.427748
23.0,757,2495.078461
23.0,674,2500.217571
21.0,788,2506.246326
26.0,902,2513.37652
30.0,892,2520.325019
25.0,902,2527.602572
27.0,945,2535.124418
21.0,624,2539.907419
27.0,806,2546.126786
17.0,660,2551.444803
14.0,773,2557.341057
27.0,810,2563.515006
13.0,651,2568.566426
14.0,650,2573.797769
23.0,857,2580.347681
17.0,697,2585.571348
19.0,741,2591.550465
17.0,651,2596.397024
36.0,858,2607.229865
22.0,847,2614.053268
24.0,801,2620.112173
35.0,1016,2628.229928
35.0,916,2635.56207
21.0,915,2642.853818
17.0,653,2647.849069
15.0,712,2653.068973
18.0,735,2658.801864
14.0,717,2664.73595
19.0,756,2670.534864
13.0,489,2674.095041
26.0,918,2681.061009
13.0,618,2685.741992
18.0,801,2692.202484
21.0,758,2697.811172
24.0,931,2705.247872
27.0,932,2717.357482
