#{"t_start": 1729278991.89872, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,301,6.265824
1.0,207,7.693361
1.0,183,9.064888
4.0,326,12.331039
2.0,237,14.057416
2.0,257,16.49464
1.0,219,17.78844
2.0,260,19.70868
0.0,168,20.702701
1.0,194,22.434055
2.0,218,24.150419
4.0,312,27.037115
4.0,335,29.653975
1.0,212,31.056004
2.0,254,33.219221
0.0,162,34.287661
2.0,253,36.277857
3.0,256,38.656107
2.0,265,40.55669
0.0,139,41.450202
2.0,232,42.955216
0.0,175,44.309945
1.0,191,45.516481
0.0,147,46.493029
3.0,324,49.284378
1.0,201,50.532329
2.0,233,52.254803
0.0,167,53.254755
4.0,337,56.196117
0.0,174,57.222008
3.0,285,59.362528
4.0,325,62.379042
1.0,212,63.771612
0.0,172,64.788992
1.0,208,66.443191
3.0,247,68.324171
1.0,193,69.562155
1.0,203,71.170063
2.0,251,72.84704
3.0,290,75.055732
1.0,202,76.694718
1.0,205,78.045146
5.0,361,80.781806
1.0,191,82.264061
5.0,358,85.193826
3.0,269,87.415422
2.0,223,88.958363
0.0,172,89.981379
2.0,232,91.466743
2.0,240,93.582461
4.0,300,95.67825
2.0,217,97.171967
4.0,283,99.611597
1.0,203,100.708808
3.0,272,102.564198
4.0,299,105.032855
3.0,266,106.817412
1.0,194,108.45111
3.0,267,110.087532
3.0,280,111.918622
9.0,545,116.543015
7.0,294,118.854272
6.0,392,121.837836
5.0,325,124.6428
6.0,410,127.593083
4.0,290,129.900471
1.0,187,131.003747
4.0,292,133.45963
5.0,380,138.520029
5.0,320,141.18856
5.0,357,143.85601
2.0,235,145.675589
2.0,249,147.211398
5.0,351,149.767672
6.0,380,152.856246
5.0,320,155.467273
7.0,296,157.556347
4.0,322,159.674328
12.0,515,163.901272
7.0,440,167.527111
11.0,493,171.510017
4.0,316,173.731918
3.0,248,175.801123
7.0,455,179.358193
6.0,420,182.778167
8.0,456,186.584885
7.0,412,189.774009
12.0,614,194.713648
6.0,348,197.236737
12.0,526,201.337288
4.0,303,203.408441
10.0,531,207.588121
8.0,463,211.290368
5.0,347,214.081306
12.0,671,219.36419
8.0,449,222.858024
3.0,249,224.455729
8.0,491,228.42606
14.0,598,233.327902
8.0,443,236.814773
4.0,283,238.688614
12.0,512,242.794889
8.0,499,246.728054
8.0,422,249.739763
5.0,329,252.301233
9.0,528,259.759181
8.0,330,261.796261
9.0,525,265.848209
4.0,301,268.218456
8.0,450,271.250026
15.0,538,275.528521
8.0,463,279.068355
13.0,544,283.333353
6.0,364,286.126782
9.0,484,289.657899
8.0,499,293.490931
10.0,561,297.913683
9.0,480,301.620595
9.0,474,305.355177
17.0,620,310.219467
10.0,560,314.588762
12.0,626,319.355139
12.0,497,323.259274
9.0,488,326.759075
10.0,497,330.508264
11.0,566,334.986187
17.0,690,340.446981
8.0,441,343.868658
9.0,488,347.617453
