#{"t_start": 1729278992.0526922, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,170,4.814807
3.0,293,6.984176
2.0,250,8.741202
0.0,165,10.559571
1.0,198,11.715398
1.0,195,13.091727
1.0,197,14.508835
0.0,165,16.049281
0.0,175,17.047081
3.0,303,19.215001
2.0,227,21.332819
1.0,209,22.587204
1.0,186,23.926323
0.0,167,24.838762
3.0,275,27.350746
7.0,312,29.809155
1.0,197,31.186816
3.0,295,33.790428
5.0,357,36.691326
2.0,233,38.7384
3.0,263,40.774595
2.0,233,42.37666
1.0,186,44.063263
3.0,285,46.222743
0.0,148,47.220409
5.0,368,50.600738
1.0,193,51.893907
3.0,264,53.943003
4.0,321,56.688521
1.0,194,57.824242
1.0,230,59.288275
2.0,241,61.178094
1.0,194,62.734941
1.0,193,64.102046
1.0,201,65.658055
1.0,218,67.026391
1.0,216,68.381643
3.0,289,70.54592
2.0,261,72.793691
2.0,239,74.375394
0.0,166,75.477962
5.0,349,78.477046
4.0,325,80.988743
3.0,249,83.086073
1.0,225,84.46391
4.0,361,87.627528
3.0,302,89.730478
2.0,225,91.333269
0.0,166,92.625676
2.0,251,94.274252
5.0,325,96.811016
3.0,240,98.885998
2.0,266,100.730154
5.0,344,103.647382
4.0,323,105.93852
2.0,231,107.448261
5.0,335,110.24212
7.0,444,113.802143
3.0,270,115.579794
4.0,343,118.321512
3.0,242,119.888566
14.0,513,124.140207
4.0,290,126.229038
3.0,255,128.253822
3.0,261,130.076149
5.0,366,132.787773
4.0,294,137.455875
7.0,415,140.902271
5.0,358,143.538324
7.0,464,147.380692
2.0,210,148.712181
7.0,461,152.310067
5.0,342,154.682822
8.0,490,158.788576
3.0,241,160.679489
2.0,239,162.117465
7.0,450,165.866076
8.0,447,169.142503
4.0,339,171.82632
8.0,468,175.902533
3.0,238,177.529591
4.0,295,180.054173
7.0,416,182.984817
6.0,385,186.067608
6.0,429,189.07951
6.0,377,192.005515
7.0,435,195.470079
6.0,375,197.960625
11.0,482,201.798292
4.0,331,204.41842
12.0,515,208.437659
8.0,482,211.882569
8.0,527,215.983728
10.0,526,220.205616
7.0,401,223.285835
8.0,426,226.392638
7.0,441,229.857428
4.0,320,232.276678
6.0,390,234.90254
15.0,545,239.226496
3.0,232,241.069246
7.0,403,243.841931
7.0,421,247.196972
9.0,505,251.375945
8.0,475,258.362117
11.0,485,261.770859
3.0,237,263.509106
11.0,556,267.912304
12.0,518,271.544816
8.0,431,274.988002
12.0,505,279.068888
9.0,479,282.722157
15.0,548,286.972407
13.0,525,291.144517
6.0,395,293.876407
11.0,570,298.404929
12.0,623,303.368167
12.0,638,308.47944
8.0,426,311.756361
11.0,580,316.354508
18.0,627,321.245707
6.0,369,324.095689
8.0,414,327.390518
14.0,568,331.407977
9.0,514,335.459279
13.0,680,341.13167
7.0,413,343.83919
11.0,576,348.287052
12.0,460,351.874103
12.0,491,355.723236
8.0,472,359.308936
8.0,488,362.747177
17.0,585,367.373401
12.0,520,375.027979
14.0,615,379.923374
14.0,709,385.87681
8.0,424,388.838509
14.0,569,393.213376
18.0,761,399.505934
18.0,621,404.269104
17.0,632,409.230674
24.0,787,415.351409
12.0,694,420.736455
20.0,763,427.114157
8.0,460,430.367343
13.0,540,434.387454
13.0,594,438.98747
17.0,663,444.439506
21.0,688,449.92344
11.0,569,454.301277
15.0,681,459.693032
12.0,616,464.504591
11.0,624,469.308789
15.0,693,474.64591
16.0,791,481.14616
16.0,665,489.78418
18.0,651,494.772688
10.0,522,498.884072
14.0,587,503.466527
14.0,664,508.629083
18.0,711,514.058363
12.0,647,518.990094
14.0,695,524.596043
13.0,556,528.808699
13.0,723,534.281163
25.0,793,540.61239
18.0,524,544.649782
22.0,799,551.428652
13.0,662,556.59061
12.0,567,561.058342
13.0,628,565.805437
13.0,524,569.899915
10.0,517,573.717746
10.0,538,577.487435
16.0,618,582.650637
11.0,543,586.444875
