#{"t_start": 1729278991.273339, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,154,5.433146
3.0,312,7.954311
2.0,218,9.65033
2.0,241,12.043062
4.0,297,14.409207
1.0,209,16.354341
2.0,245,18.034255
0.0,174,19.018432
1.0,196,20.29915
2.0,228,22.420133
1.0,190,23.666966
0.0,149,24.626263
3.0,274,26.755616
1.0,202,28.480365
0.0,157,29.447008
3.0,253,31.394585
0.0,177,32.423157
1.0,216,34.204417
0.0,161,35.165309
5.0,358,37.975103
2.0,228,40.012016
1.0,229,41.467847
2.0,275,43.44709
0.0,182,44.784948
2.0,243,46.531086
0.0,160,47.6098
4.0,313,50.407141
2.0,232,52.116228
4.0,304,54.57375
2.0,252,56.650577
2.0,236,58.403666
1.0,196,59.636153
3.0,284,62.093523
2.0,234,63.893285
2.0,241,65.662949
2.0,265,67.945441
3.0,265,70.005029
7.0,407,73.852473
3.0,262,75.728192
4.0,311,78.404986
2.0,210,79.898583
5.0,352,82.795717
2.0,242,84.658424
1.0,213,86.017117
1.0,202,87.364744
4.0,290,89.824161
2.0,235,91.557384
3.0,276,93.840855
2.0,234,95.467477
2.0,234,96.965868
1.0,198,98.593933
2.0,235,100.364249
2.0,231,101.90192
3.0,279,104.128534
3.0,268,105.953605
4.0,328,108.321955
7.0,446,112.122441
6.0,390,115.296005
4.0,308,117.548274
4.0,306,120.127282
8.0,453,123.801724
4.0,291,125.865219
3.0,238,127.360754
4.0,331,130.02407
4.0,310,132.248916
9.0,391,135.442387
9.0,391,140.595579
6.0,372,143.571342
5.0,356,146.602271
5.0,352,149.172432
7.0,270,151.351522
11.0,444,154.625496
2.0,222,156.450456
3.0,241,158.079791
8.0,432,161.617667
7.0,419,164.716527
6.0,356,167.716815
1.0,185,168.755718
6.0,394,171.778281
3.0,275,173.489937
11.0,586,178.348748
4.0,275,180.274107
5.0,388,183.348929
6.0,417,186.6062
7.0,418,189.630994
5.0,316,192.07113
3.0,268,193.82114
7.0,439,197.408345
11.0,467,201.237889
18.0,522,205.556889
14.0,599,210.37268
8.0,477,214.134282
8.0,448,217.327086
5.0,320,219.642124
5.0,323,221.848676
6.0,380,224.666914
14.0,623,229.57479
9.0,517,233.550757
12.0,506,237.703096
18.0,659,243.040592
9.0,481,246.995944
6.0,388,249.617071
14.0,598,254.46716
11.0,570,262.252322
8.0,452,265.960675
7.0,409,269.251928
12.0,690,274.517628
8.0,470,278.171054
8.0,417,281.17546
13.0,563,285.435269
9.0,491,289.368459
13.0,560,293.822276
12.0,619,298.811096
10.0,613,303.554411
15.0,750,309.775935
15.0,656,314.87894
12.0,495,318.533319
12.0,496,322.529381
7.0,402,325.631154
14.0,563,330.035628
17.0,595,334.739279
14.0,542,338.848269
10.0,540,343.003502
7.0,409,345.906659
9.0,476,349.636297
12.0,595,354.261333
14.0,620,359.120425
13.0,609,364.002637
6.0,380,366.886849
16.0,569,374.715154
16.0,611,379.502818
10.0,496,383.367787
13.0,659,388.521934
9.0,499,392.342515
13.0,689,397.776023
10.0,534,401.838228
12.0,609,406.44359
11.0,593,411.23346
9.0,466,414.775059
12.0,502,418.709841
12.0,506,422.663571
13.0,540,426.629772
7.0,388,429.569982
14.0,701,435.067541
11.0,587,439.839885
17.0,726,445.81682
12.0,520,449.951681
15.0,633,454.913233
10.0,538,459.165093
13.0,655,464.2889
13.0,506,468.256257
14.0,679,473.440697
8.0,425,476.710127
17.0,637,481.518319
13.0,529,489.099514
17.0,604,493.704922
16.0,617,498.586868
18.0,663,503.775314
22.0,701,509.04985
16.0,655,514.131473
12.0,559,518.517148
11.0,650,523.513839
9.0,448,526.961197
18.0,605,531.619964
14.0,589,536.18328
16.0,664,541.172698
13.0,613,545.979409
8.0,312,548.304515
18.0,569,552.717733
18.0,723,558.377693
12.0,432,561.708512
22.0,780,567.936359
21.0,771,574.22044
6.0,381,576.766528
10.0,536,580.873139
14.0,567,585.274079
10.0,497,589.065147
11.0,569,593.447029
12.0,592,601.638381
27.0,956,609.401532
10.0,532,613.673439
14.0,572,618.162163
11.0,582,622.607056
14.0,586,627.085083
12.0,632,632.016746
16.0,752,637.859168
17.0,670,642.954083
11.0,629,647.813842
16.0,636,652.715442
23.0,765,658.965529
23.0,935,666.0785
19.0,679,671.575379
30.0,888,678.323974
17.0,690,683.522578
9.0,496,687.213844
14.0,620,691.906832
12.0,623,696.807233
14.0,575,701.339254
19.0,804,707.900568
17.0,673,716.750086
13.0,597,721.250771
22.0,784,727.163856
13.0,591,731.795403
14.0,732,737.598325
11.0,566,742.014805
7.0,422,744.858819
15.0,701,750.609283
13.0,630,755.233474
17.0,680,760.430362
22.0,811,766.755075
13.0,536,770.75421
24.0,873,777.702218
15.0,606,782.366836
17.0,670,787.468876
31.0,945,795.084995
15.0,591,799.492723
17.0,715,805.118456
14.0,542,809.193304
12.0,594,813.809385
10.0,513,817.748235
24.0,755,827.414028
18.0,698,832.582104
10.0,566,836.942159
16.0,623,841.699542
28.0,820,848.155731
11.0,544,852.249383
22.0,636,857.117305
23.0,767,863.010915
19.0,654,868.023497
17.0,710,873.648286
15.0,637,878.376356
12.0,626,883.058714
16.0,676,888.340152
15.0,731,893.956648
12.0,618,898.630901
16.0,745,904.632071
23.0,705,909.875355
24.0,846,916.53614
14.0,696,922.19089
17.0,678,927.48438
25.0,833,937.710846
15.0,681,942.995747
13.0,676,948.513194
20.0,748,954.146977
14.0,716,959.593595
9.0,461,963.032656
21.0,737,968.761494
14.0,686,974.306397
30.0,892,981.241822
23.0,798,987.764228
22.0,777,993.816183
15.0,703,999.081817
17.0,714,1004.522676
18.0,732,1010.476835
9.0,475,1013.996933
19.0,788,1020.039425
15.0,686,1025.138442
17.0,671,1030.326702
16.0,644,1035.149344
14.0,660,1040.409982
34.0,951,1052.222695
21.0,817,1058.836097
22.0,781,1064.86997
