#{"t_start": 1729278991.1193085, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,193,6.098523
2.0,227,7.646421
0.0,159,8.547869
0.0,167,9.459606
5.0,346,12.863141
4.0,368,15.818889
5.0,320,18.924326
3.0,283,21.056519
1.0,191,22.868095
3.0,275,25.076321
1.0,196,26.318264
2.0,250,28.480507
1.0,195,29.848843
2.0,239,31.642514
1.0,200,33.286797
0.0,172,34.24611
1.0,211,35.591423
1.0,218,37.007237
2.0,269,39.323327
2.0,217,40.867265
2.0,231,42.710893
3.0,306,45.441267
1.0,194,46.819417
0.0,161,47.891816
1.0,225,49.370574
3.0,277,51.59871
2.0,247,53.362757
2.0,236,55.407048
6.0,429,58.831573
3.0,274,61.265536
0.0,154,62.146164
2.0,244,64.126792
1.0,211,65.387492
3.0,257,67.801632
0.0,155,68.756614
1.0,231,70.252302
1.0,217,72.072454
1.0,209,73.32468
0.0,146,74.279794
2.0,236,76.054199
2.0,225,78.047477
3.0,297,80.368293
2.0,233,82.013581
2.0,233,83.862952
3.0,270,85.921728
2.0,263,88.144018
1.0,192,89.401146
1.0,196,90.715548
2.0,232,92.169712
2.0,246,94.185966
3.0,282,96.199948
4.0,323,98.950858
2.0,233,100.652726
2.0,230,102.300436
2.0,255,104.218359
3.0,276,106.205136
4.0,311,108.537956
3.0,302,110.916474
4.0,305,113.014864
3.0,284,115.214674
3.0,243,116.79122
3.0,271,118.615639
8.0,439,122.293074
2.0,200,123.555021
2.0,216,125.233321
7.0,465,129.098066
4.0,302,131.18293
3.0,271,133.185211
3.0,247,135.145393
7.0,409,140.513962
3.0,239,142.480527
5.0,343,145.006752
5.0,334,147.834692
7.0,412,151.295099
4.0,306,153.50147
6.0,406,156.894836
6.0,364,159.588974
4.0,283,161.825938
7.0,414,164.969978
3.0,268,167.038168
6.0,378,169.833523
11.0,497,173.782311
3.0,245,175.354914
1.0,187,176.7135
4.0,281,178.711271
9.0,375,181.906227
5.0,375,184.435082
9.0,566,189.053504
10.0,458,192.608969
4.0,285,194.673751
9.0,514,198.955747
8.0,461,202.43643
7.0,268,204.635655
7.0,413,207.515475
9.0,511,211.519537
4.0,298,213.444448
9.0,551,217.745783
9.0,514,221.693198
9.0,462,225.337756
7.0,428,228.707235
6.0,371,231.406173
7.0,413,234.731225
9.0,493,238.712041
8.0,448,242.301585
9.0,521,246.171286
7.0,426,249.451304
6.0,400,252.778573
11.0,641,261.224587
11.0,547,265.613443
9.0,474,269.37585
12.0,584,273.913304
8.0,447,277.006634
10.0,552,281.278012
14.0,558,285.734845
5.0,348,288.373826
9.0,516,292.370751
7.0,423,295.303469
2.0,198,296.779443
14.0,743,302.594127
7.0,410,305.754741
8.0,464,308.89843
5.0,339,311.510959
8.0,463,315.217782
10.0,531,319.470078
12.0,523,323.154692
9.0,521,327.236197
8.0,446,330.607576
14.0,563,335.010652
7.0,410,338.088178
10.0,502,342.111341
9.0,457,345.409867
11.0,611,350.290751
15.0,649,355.735022
10.0,525,359.355258
10.0,504,363.260111
7.0,395,366.287289
14.0,546,374.127878
8.0,479,377.748915
10.0,576,382.140797
14.0,584,386.708914
12.0,567,391.274821
13.0,541,395.426612
11.0,573,399.422318
14.0,573,403.817225
12.0,523,407.782874
10.0,544,411.924329
8.0,436,415.327431
9.0,493,419.197504
10.0,511,423.220263
7.0,392,426.007753
13.0,568,430.323651
18.0,749,436.524844
13.0,538,440.323703
15.0,618,445.413591
8.0,443,448.441859
20.0,720,454.324115
8.0,418,457.214005
7.0,426,460.348339
12.0,614,464.99321
10.0,520,468.986543
18.0,795,474.997993
19.0,693,480.360738
17.0,691,489.529521
13.0,526,493.113641
11.0,614,498.180823
13.0,634,502.999142
9.0,498,506.468103
13.0,653,511.968031
13.0,657,517.094974
5.0,314,519.111175
12.0,636,523.965339
19.0,764,530.264544
16.0,636,535.140364
12.0,588,539.795117
13.0,624,544.67168
21.0,623,549.567338
8.0,514,553.603911
13.0,381,556.11635
8.0,419,559.285844
22.0,757,565.574206
16.0,674,570.786941
14.0,700,576.30267
16.0,743,582.114385
22.0,670,587.311384
13.0,635,592.613687
16.0,627,601.105341
13.0,660,606.229448
19.0,622,611.138972
15.0,715,616.599674
9.0,490,620.286537
17.0,523,624.381056
19.0,760,630.3269
11.0,606,634.892029
13.0,668,640.058124
11.0,579,644.412485
16.0,706,650.169057
21.0,729,655.738263
17.0,699,661.222373
11.0,562,665.453923
9.0,508,669.271667
10.0,547,673.447639
11.0,577,677.896867
22.0,810,684.124709
17.0,606,688.777246
12.0,510,692.616525
11.0,627,697.559926
12.0,593,702.03983
17.0,710,707.865751
18.0,580,716.02529
13.0,532,719.962135
15.0,709,725.31254
17.0,783,731.363719
15.0,638,736.344934
12.0,648,741.342065
20.0,799,747.864335
18.0,740,753.424464
16.0,790,759.839156
13.0,645,764.831062
14.0,533,768.952925
18.0,698,774.316828
9.0,504,778.030309
22.0,664,783.148072
19.0,683,788.401482
13.0,676,793.389012
10.0,564,797.636891
12.0,606,802.309767
9.0,367,805.129639
17.0,697,810.54012
15.0,627,815.223861
18.0,728,824.803683
11.0,549,828.933668
19.0,797,835.538412
16.0,643,840.337526
20.0,772,846.124783
15.0,594,850.677282
20.0,835,857.441892
18.0,646,862.223106
19.0,715,867.629147
20.0,819,874.379745
16.0,759,880.191064
20.0,735,885.962845
16.0,674,891.288824
10.0,492,894.838123
18.0,724,900.792546
13.0,604,905.33605
13.0,678,910.41452
13.0,523,914.311792
23.0,671,919.547007
21.0,841,926.096948
18.0,840,936.707042
15.0,708,942.020678
21.0,731,947.639266
14.0,682,953.119806
19.0,767,959.096353
12.0,662,963.954931
13.0,658,969.016523
23.0,750,974.985023
17.0,731,980.606458
10.0,567,984.742224
16.0,648,989.747563
15.0,584,994.142173
22.0,569,998.445484
14.0,566,1002.714514
18.0,691,1008.00427
19.0,830,1014.605674
12.0,637,1019.445837
18.0,655,1024.42057
19.0,723,1029.920606
23.0,816,1036.638235
11.0,588,1040.962726
11.0,555,1049.672699
15.0,692,1054.93146
14.0,704,1060.356219
18.0,820,1066.831072
13.0,577,1071.324756
32.0,842,1077.784435
20.0,823,1084.447019
20.0,786,1090.312916
17.0,702,1095.632335
14.0,659,1100.741606
25.0,787,1107.226363
21.0,837,1113.545139
13.0,636,1118.340992
15.0,752,1124.305804
12.0,585,1128.866162
21.0,729,1134.440723
11.0,547,1138.719312
18.0,668,1143.824208
24.0,757,1149.680122
15.0,663,1155.002476
17.0,699,1164.031757
15.0,579,1168.461803
25.0,853,1174.991839
13.0,643,1179.893641
17.0,641,1185.064322
20.0,754,1190.696254
18.0,760,1196.513969
14.0,722,1202.208176
18.0,784,1208.178676
15.0,745,1213.76812
22.0,739,1219.347315
29.0,915,1226.724276
14.0,694,1231.875616
22.0,711,1237.667238
34.0,1080,1246.318075
20.0,719,1251.819569
20.0,644,1256.856184
15.0,715,1262.269973
14.0,686,1271.227693
23.0,798,1277.737248
21.0,846,1284.215401
