#{"t_start": 1729012079.76208, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.7768,31,2.057198
0.0,4,2.075543
0.2656,102,3.723892
0.6472,49,3.939108
0.0,39,4.122406
0.568,60,6.157612
0.4672,74,6.481505
0.0,12,6.533818
0.0,125,8.077134
0.0,34,9.141814
0.6832,44,9.34171
0.0,1,9.347381
0.0,20,9.440465
0.7336,37,9.612768
0.9352,9,11.420549
0.0,8,11.459881
0.6472,49,11.677974
0.5608,61,11.947184
0.0,11,12.892007
0.0,19,13.045167
0.9352,9,13.083858
0.8488,21,13.178564
0.964,5,13.200979
0.928,10,13.245996
0.0,22,13.343111
0.0,1,13.348687
0.748,35,13.504156
0.9064,13,14.470244
0.9784,3,14.48555
0.964,5,14.509008
0.8128,26,14.638467
0.0,5,14.661186
0.8848,16,14.736699
0.9496,7,14.769785
0.0,105,16.957371
0.0,125,18.425879
0.928,10,18.47015
0.9856,2,18.480457
0.0,25,18.592262
0.964,5,18.6153
0.0,7,18.646594
0.0,2,18.655977
0.9856,2,18.665482
0.0,105,20.047285
0.7192,39,20.229714
0.0,46,21.331355
0.0,47,21.779577
0.0,29,22.163881
0.9424,8,22.265956
0.7192,39,23.607408
0.8848,16,23.708414
0.0,1,23.716898
0.1072,124,25.203093
0.9856,2,25.212738
0.0,32,25.369293
0.8704,18,25.453963
0.1936,112,26.862317
0.0,7,26.893829
0.8632,19,26.981516
0.46,75,29.170461
0.8056,27,29.294072
0.0,60,30.475267
0.7912,29,30.620467
0.0,13,30.679382
0.8272,24,30.787835
0.0,11,30.835248
0.0,11,30.885992
0.784,30,31.022199
0.7984,28,32.100995
0.0,85,32.490797
0.0,43,34.42041
0.7264,38,34.599828
0.0,63,34.889443
0.0,10,35.839774
0.8992,14,35.906152
0.5752,59,36.173789
0.9208,11,36.223846
0.0,2,36.233542
0.0,12,36.285731
0.0,1,36.290299
0.9136,12,36.344818
0.9208,11,37.295606
0.0,25,37.418557
0.82,25,37.533788
0.0,42,37.726255
0.0,20,37.822092
0.0,3,37.836872
0.0,60,39.890536
0.0,6,39.919907
0.9496,7,39.95221
0.7984,28,40.083298
0.0,12,40.138141
0.0,41,41.247188
0.6832,44,41.453824
0.9136,12,41.507887
0.0,39,41.686684
0.9424,8,41.725894
0.0,13,42.661689
0.9424,8,42.698719
0.6976,42,42.889164
0.6472,49,43.113541
0.9928,1,43.119103
0.9856,2,43.12911
0.0,17,43.205934
0.8632,19,44.582967
0.6544,48,45.299381
0.604,55,45.558499
0.0,23,46.567235
0.0,17,46.64272
0.5536,62,46.924018
0.0,69,48.171925
0.8776,17,48.252915
0.0,15,48.324693
0.892,15,48.392913
0.9784,3,48.40695
0.892,15,48.476246
0.7696,32,49.53002
0.0,10,49.664041
0.9784,3,49.676924
0.0,5,49.709663
0.964,5,49.767833
0.6688,46,50.40707
0.4528,76,51.997282
0.6688,46,52.214713
0.0,3,52.230519
0.9856,2,52.240573
0.0,12,52.293711
0.9208,11,52.343134
0.0,9,52.386078
0.9208,11,52.43619
0.0,35,53.499345
0.9568,6,53.528467
0.9712,4,53.546987
0.0,1,53.552418
0.0,42,53.749568
0.2944,98,55.138813
0.9208,11,55.189437
0.0,16,55.263814
0.0,4,55.283558
0.928,10,55.346455
0.0,42,55.909801
0.0,31,57.392679
0.8416,22,57.492796
0.784,30,57.634061
0.0,26,57.755044
0.0,42,58.838821
0.7912,29,58.968652
0.0,6,58.996221
0.0,18,59.07706
0.9712,4,59.094916
0.9712,4,59.112809
0.8992,14,59.179
0.0,2,59.190827
0.9568,6,59.218594
0.964,5,59.244044
0.7984,28,60.249799
0.0,43,60.458773
0.0,35,60.628693
0.0,18,60.711495
0.0,23,60.815865
0.964,5,62.589405
0.0,1,62.594388
0.928,10,62.64201
0.8632,19,62.729537
0.9568,6,62.759109
0.1504,118,64.213823
0.9568,6,64.241033
0.8776,17,64.321222
0.9352,9,64.361368
0.9856,2,64.371314
0.964,5,64.396976
0.0,13,64.460349
0.8776,17,64.542399
0.0,9,64.586286
0.9208,11,64.638465
0.8848,16,65.652149
0.0,13,65.711966
0.0,24,65.821641
0.0,40,66.00408
0.0,14,66.072351
0.7336,37,67.995919
0.0,11,68.047177
0.9496,7,68.077694
0.0,6,68.106533
0.0,12,68.161322
0.0,1,68.166216
0.6472,49,68.39219
0.9712,4,68.412358
0.0,13,68.471848
0.0,100,69.876162
0.8488,21,69.971743
0.0,7,70.004938
0.532,65,71.291327
0.0,12,71.344231
0.0,16,71.415554
0.0,11,71.470355
0.0,29,71.599667
0.0,77,73.714229
0.9208,11,73.765679
0.0,15,73.837447
0.0,19,73.925037
0.0,4,73.944568
0.9352,9,73.987602
0.8128,26,75.101903
0.964,5,75.134026
0.7264,38,75.323358
0.676,45,75.586495
0.9496,7,75.619197
0.9856,2,75.629255
0.0,2,75.639324
0.9928,1,75.644315
0.0,37,76.800446
0.0,6,76.838684
0.0,77,77.223566
0.964,5,77.248815
0.964,5,77.272347
0.8416,22,79.148978
0.9856,2,79.158223
0.0,16,79.232508
0.9568,6,79.259616
0.0,3,79.273578
0.5608,61,79.559399
0.9856,2,79.57022
0.0,5,79.593583
0.7768,31,80.745385
0.9424,8,80.781444
0.0,4,80.800027
0.5536,62,81.076179
0.964,5,81.09927
0.0,8,81.135246
0.9496,7,81.167871
0.712,40,82.257716
0.8848,16,82.33155
0.9928,1,82.337579
0.9064,13,82.394574
0.8704,18,82.474781
0.0,18,82.55612
0.4816,72,84.697542
0.9568,6,84.725828
0.0,1,84.731048
0.9856,2,84.740322
0.9352,9,84.782026
0.7048,41,84.96697
0.7552,34,85.124737
0.9208,11,86.07219
0.0,125,87.602027
0.9136,12,87.676833
0.0,8,87.729197
0.9568,6,87.767458
0.0,24,87.900415
0.9928,1,87.905983
0.964,5,87.9298
0.0,16,88.005142
0.7912,29,88.141232
0.9784,3,88.341038
0.9424,8,88.383292
0.0,90,90.551492
0.0,36,90.717589
0.0,3,90.731592
0.8776,17,91.706778
0.8992,14,91.770999
0.9568,6,91.799473
0.9424,8,91.836768
0.0,82,92.205255
0.9928,1,92.210192
0.0,1,92.215836
0.9208,11,92.266184
0.8128,26,93.288444
0.0,8,93.329472
0.9352,9,93.369456
0.0,42,93.57344
0.9064,13,93.633714
0.0,125,95.832243
0.0,5,95.85628
0.0,18,95.939175
0.2656,102,97.309407
0.0,4,97.3287
0.0,122,98.813261
0.964,5,98.837837
0.0,8,98.874824
0.9928,1,98.879685
0.9496,7,98.912668
0.0,5,98.936605
0.0,36,100.018256
0.0,1,100.023702
0.0,22,100.125277
0.0,6,100.152931
0.6184,53,100.485029
0.9928,1,100.501672
0.964,5,100.570267
0.9208,11,100.712385
0.9568,6,102.223013
0.0,2,102.236384
0.0,4,102.254132
0.0,2,102.265088
0.8632,19,102.353023
0.9424,8,102.38904
0.9064,13,102.451303
0.928,10,102.499409
0.0,15,102.568348
0.0,39,102.750032
0.0,6,102.779653
0.9208,11,103.722258
0.8344,23,103.828439
0.6472,49,104.062712
0.0,107,105.462339
0.9496,7,105.494381
0.8416,22,105.595198
0.0,2,105.605062
0.0,125,107.926563
0.0,11,107.974465
0.0,9,108.013664
0.9928,1,108.01864
0.0,63,109.240798
0.9136,12,109.29811
0.9136,12,109.356999
0.9208,11,109.408976
0.964,5,109.431821
0.0,17,109.513619
0.0,3,109.530223
0.0,125,111.024094
0.8776,17,111.101907
0.9928,1,111.107004
0.0,125,113.554372
0.0,21,114.579928
0.5392,64,114.903182
0.9856,2,114.913263
0.0,20,115.003975
0.9928,1,115.008848
0.9712,4,115.02764
0.784,30,115.159694
0.928,10,116.10534
0.9784,3,116.118735
0.964,5,116.141869
0.9208,11,116.192796
0.4528,76,116.538036
0.7696,32,118.244559
0.0,9,118.367735
0.8632,19,118.552006
0.9856,2,118.561416
0.9928,1,118.566481
0.7552,34,118.726858
0.8056,27,118.849215
0.0,22,118.947893
0.0,29,119.965356
0.0,1,119.972906
0.64,50,120.205693
0.8056,27,120.32955
0.0,2,120.338725
0.0,2,120.348404
0.0,125,121.820773
0.9712,4,121.840965
0.9208,11,121.894507
0.964,5,121.917052
0.0,1,121.921909
0.9712,4,121.941849
0.0,79,123.827238
0.0,24,124.138339
0.0,5,124.161324
0.0,1,124.166372
0.0,21,124.263638
0.0,1,124.268416
0.964,5,125.182516
0.8992,14,125.254128
0.0,4,125.273598
0.0,7,125.306774
0.9928,1,125.311903
0.7624,33,125.467096
0.0,6,125.493571
0.0,5,125.51765
0.0,2,125.526983
0.9784,3,125.542334
0.0,11,125.597457
0.0,20,125.687943
0.0,27,126.694959
0.892,15,126.766154
0.8776,17,126.845236
0.0,2,126.857645
0.9784,3,126.872655
0.676,45,127.091152
0.0,2,127.100546
0.9352,9,127.143167
0.0,125,128.689087
0.9928,1,128.703417
0.0,39,130.567063
0.9136,12,130.625284
0.0,13,130.685841
0.0,24,130.793987
0.0,14,130.859583
0.9928,1,130.864542
0.0,8,130.901246
0.0,26,131.018661
0.0,7,131.05165
0.9856,2,131.061529
0.5032,69,132.733871
0.9352,9,132.776881
0.9928,1,132.781784
0.9856,2,132.792844
0.0,37,132.971176
0.9784,3,132.985922
0.0,9,133.030488
0.0,13,134.047626
0.0,19,134.134723
0.0,1,134.140846
0.0,2,134.150311
0.0,38,134.328915
0.0,13,134.390882
0.0,125,135.974812
