#{"t_start": 1729012079.7646658, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.8488,21,2.010746
0.0,125,3.761103
0.9424,8,3.796575
0.712,40,3.973618
0.0,125,6.305606
0.0,7,6.336123
0.8632,19,6.420118
0.5536,62,7.673016
0.0,19,7.757021
0.0,26,7.875982
0.9568,6,7.904077
0.7624,33,8.053021
0.82,25,9.077793
0.6976,42,9.264109
0.0,41,9.457571
0.0,1,9.463932
0.0,7,9.495233
0.0,37,11.435729
0.0,25,11.545829
0.8056,27,11.666735
0.0,3,11.681007
0.1792,114,13.149686
0.8992,14,13.213592
0.9352,9,13.254303
0.0,36,13.414301
0.0,31,14.458606
0.9352,9,14.502434
0.0,19,14.594604
0.9064,13,14.660304
0.0,11,14.710928
0.9208,11,14.763156
0.0,53,15.001657
0.0,29,16.836402
0.0,27,16.969643
0.0,35,17.142957
0.0,16,17.213669
0.0,7,17.245091
0.0,44,18.335246
0.0,45,18.537485
0.0,108,19.929598
0.6544,48,20.154451
0.0,7,20.185744
0.0,12,20.242082
0.82,25,21.245379
0.9928,1,21.251065
0.0,125,23.512141
0.0,4,23.539628
0.0,3,23.558173
0.6544,48,23.847224
0.8416,22,23.946263
0.9352,9,23.98647
0.8344,23,24.087385
0.0,74,25.331476
0.0,32,25.483655
0.9784,3,25.497631
0.9424,8,25.534814
0.0,2,25.54414
0.0,53,26.684291
0.7768,31,26.823002
0.8632,19,26.911258
0.3736,87,29.155369
0.82,25,29.269559
0.0,37,29.439192
0.6472,49,30.574988
0.9784,3,30.591728
0.9712,4,30.613508
0.8056,27,30.735781
0.0,29,30.8666
0.0,88,32.22195
0.9856,2,32.231198
0.0,1,32.236568
0.6688,46,32.445333
0.8416,22,32.543038
0.0,24,34.386473
0.0,23,34.49312
0.9784,3,34.509055
0.9424,8,34.545755
0.0,5,34.571505
0.0,18,34.652789
0.928,10,34.697916
0.8704,18,34.782152
0.0,28,35.814363
0.0,45,36.022507
0.8128,26,36.140727
0.0,9,36.182227
0.784,30,36.316599
0.0,108,37.719615
0.0,6,37.748665
0.8992,14,37.814393
0.928,10,37.864746
0.7624,33,39.791393
0.0,8,39.8291
0.9856,2,39.839726
0.0,9,39.878816
0.0,3,39.894315
0.0,17,39.973009
0.0,8,40.010873
0.6544,48,40.233473
0.9424,8,41.1905
0.0,4,41.210143
0.8416,22,41.311507
0.0,7,41.343347
0.0,5,41.365988
0.0,14,41.433603
0.8272,24,41.541975
0.7984,28,41.669959
0.0,1,41.675184
0.0,26,42.674364
0.8488,21,42.771962
0.0,40,42.950718
0.9424,8,42.987826
0.0,13,43.048167
