#{"t_start": 1729012079.7611692, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.0,14,1.980523
0.0,21,2.075578
0.4168,81,2.458639
0.0,125,4.195833
0.928,10,4.239897
0.9712,4,4.258823
0.0,125,6.573728
0.964,5,7.512012
0.0,4,7.536532
0.8704,18,7.674595
0.0,50,7.900092
0.712,40,8.082859
0.0,17,9.070421
0.964,5,9.093686
0.7696,32,9.234163
0.0,93,11.436818
0.4456,77,11.781446
0.4168,81,13.101902
0.0,64,13.390923
0.9424,8,13.426876
0.0,26,14.447354
0.0,10,14.495486
0.0,9,14.536968
0.6904,43,14.746586
0.0,10,14.793261
0.5464,63,16.662793
0.82,25,16.902637
0.9712,4,16.920734
0.0,21,17.01746
0.8992,14,17.092882
0.964,5,17.117042
0.5608,61,18.283379
0.9568,6,18.311007
0.0,13,18.368198
0.0,24,18.475548
0.9064,13,18.534148
0.0,31,18.675195
0.0,40,19.750821
0.9496,7,19.783061
0.0,92,20.216014
0.7552,34,21.262374
0.0,8,21.297973
0.5176,67,21.949642
0.0,16,22.163997
0.0,49,23.620826
0.9136,12,23.695266
0.9784,3,23.716561
0.0,109,25.130117
0.8056,27,25.260222
0.0,18,25.348921
0.892,15,25.422391
0.0,116,26.849514
0.9568,6,26.876132
0.9928,1,26.880989
0.8776,17,26.959182
0.7696,32,28.870937
0.0,35,29.110608
0.0,62,29.39602
0.0,3,29.409486
0.0,35,30.47524
0.964,5,30.498884
0.9496,7,30.53207
0.9712,4,30.550405
0.6112,54,30.805631
0.8488,21,30.901512
0.9424,8,30.936867
0.964,5,30.958707
0.8056,27,32.034439
0.0,93,32.461205
0.7552,34,34.348371
0.9496,7,34.379046
0.0,21,34.476957
0.0,13,34.538685
0.0,4,34.557973
0.0,43,34.757107
0.7984,28,34.885149
0.5608,61,36.071432
0.9136,12,36.124664
0.9496,7,36.156473
0.0,7,36.189455
0.0,74,37.433509
0.9136,12,37.490476
0.0,29,37.624204
0.748,35,37.784083
0.0,41,39.752519
0.748,35,39.914218
0.9136,12,39.970319
0.9496,7,40.002273
0.928,10,40.049729
0.964,5,40.073982
0.9424,8,40.111069
0.0,39,41.211787
0.9208,11,41.261473
0.0,8,41.298549
0.64,50,41.530503
0.9928,1,41.535274
0.8704,18,41.61739
0.0,14,41.68246
0.0,9,41.72588
0.8344,23,42.708978
0.6904,43,42.903994
0.8992,14,42.966604
0.9136,12,43.022639
0.9856,2,43.031992
0.0,22,43.135331
0.0,41,44.668623
0.8272,24,44.980492
0.0,40,45.403323
0.9352,9,45.444645
0.0,32,45.597197
0.9928,1,45.602184
0.0,35,46.661309
0.0,45,46.864084
0.6544,48,47.100359
0.7768,31,48.157846
0.9856,2,48.167057
0.0,1,48.171887
0.0,6,48.200764
0.0,56,48.462645
0.0,24,48.572993
0.9064,13,49.540334
0.0,41,50.042412
0.964,5,50.11023
0.8128,26,50.476351
0.0,5,50.544857
0.0,65,51.991059
0.0,4,52.016582
0.9712,4,52.035627
0.82,25,52.150208
0.0,11,52.20168
0.7408,36,52.367128
0.0,8,52.405403
0.0,10,52.451035
0.964,5,52.472894
0.0,12,53.430164
0.0,5,53.454175
0.6688,46,53.668382
0.9928,1,53.673296
0.9568,6,53.704707
0.0,17,53.782003
0.0,5,53.80562
0.0,12,53.863194
0.5392,64,55.094414
0.8488,21,55.189522
0.0,55,55.693765
0.7048,41,57.359775
0.9568,6,57.388323
0.82,25,57.503825
0.9712,4,57.522261
0.8632,19,57.610202
0.0,11,57.661651
0.0,5,57.684633
0.9352,9,57.728395
0.0,4,57.74657
0.892,15,57.816878
0.9856,2,57.827297
0.0,16,58.791414
0.0,3,58.805094
0.8776,17,58.879093
0.3448,91,59.302433
0.0,3,59.31668
0.0,16,60.265139
0.9712,4,60.285348
0.0,1,60.290352
0.0,19,60.384388
0.0,11,60.435441
0.0,12,60.491748
0.0,18,60.579408
0.0,27,60.707359
0.0,24,60.815905
0.9928,1,60.822032
0.0,34,62.729593
0.9856,2,62.740632
0.0,2,62.749761
0.8848,16,62.825149
0.0,26,62.945911
0.8776,17,63.021676
0.0,2,63.030789
0.0,3,63.044239
0.7984,28,64.083809
0.9208,11,64.134172
0.9568,6,64.16413
0.9784,3,64.178329
