#{"t_start": 1729012079.7655098, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.0,125,2.495734
0.9712,4,3.685418
0.7048,41,3.864933
0.0,125,6.199942
0.8776,17,6.274297
0.0,102,7.703798
0.0,32,7.845277
0.8992,14,7.91281
0.9064,13,7.969851
0.9136,12,8.025714
0.0,12,8.080492
0.0,125,9.564687
0.784,30,11.471111
0.0,10,11.514949
0.0,25,11.624386
0.964,5,11.647707
0.9856,2,11.656945
0.7192,39,11.830735
0.6544,48,13.006838
0.6112,54,13.248756
0.7264,38,13.41901
0.0,30,14.458637
0.1936,112,14.983181
0.928,10,16.522097
0.928,10,16.660542
0.0,47,17.001056
0.0,11,17.060638
0.0,49,17.286546
0.8776,17,18.253803
0.5824,58,18.513035
0.0,125,19.984239
0.9784,3,19.999486
0.6112,54,20.250556
0.0,3,20.264114
0.7768,31,21.295693
0.46,75,22.052411
0.5824,58,23.625489
0.9352,9,23.680515
0.9496,7,23.727725
0.0,2,23.739885
0.0,24,23.870607
0.532,65,25.051222
0.0,3,25.06465
0.0,5,25.087482
0.0,41,25.285551
0.0,7,25.320554
0.9784,3,25.336567
0.0,20,25.433188
0.64,50,26.55654
0.0,11,26.607989
0.9784,3,26.621782
0.9208,11,26.673588
0.8704,18,26.755433
0.8704,18,26.837326
0.0,47,27.06334
0.0,30,29.037035
0.0,45,29.241463
0.0,4,29.259801
0.9496,7,29.292294
0.7624,33,29.444077
0.0,24,30.458612
0.9208,11,30.510773
0.9496,7,30.542681
0.0,11,30.602501
0.8992,14,30.66733
0.9496,7,30.69934
0.3736,87,32.045218
0.9928,1,32.050045
0.0,14,32.112952
0.856,20,32.206963
0.9064,13,32.268152
0.9928,1,32.27315
0.8992,14,32.336418
0.0,11,32.38645
0.9712,4,32.404213
0.0,59,34.404085
0.8344,23,34.513489
0.0,69,34.831472
0.0,9,34.87288
0.0,7,35.808802
0.9568,6,35.838169
0.0,51,36.073425
0.0,49,36.292676
0.82,25,37.309318
0.0,3,37.323643
0.0,12,37.381243
0.9352,9,37.425694
0.0,3,37.439903
0.892,15,37.509216
0.0,23,37.616237
0.784,30,37.753041
0.0,35,39.691166
0.964,5,39.71474
0.0,1,39.720289
0.892,15,39.791502
0.0,57,40.056519
0.0,70,41.301272
0.9928,1,41.306152
0.8632,19,41.394547
0.9928,1,41.399627
0.0,9,41.442529
0.9856,2,41.452093
0.964,5,41.474052
0.0,4,41.492417
0.6688,46,41.70443
0.0,13,41.76486
0.0,5,42.664503
0.8992,14,42.729732
0.9784,3,42.743611
0.676,45,42.945261
0.0,13,43.005503
0.0,6,43.034044
0.8776,17,43.111787
0.7984,28,44.441319
0.928,10,44.567723
0.964,5,44.634277
0.0,8,44.740877
0.0,125,46.613398
0.0,11,46.663327
0.7336,37,46.828698
0.9928,1,46.834952
0.8128,26,46.954184
0.928,10,47.001877
0.3304,93,48.363697
0.316,95,49.986388
0.7984,28,50.383099
0.9712,4,50.437506
0.0,24,50.760468
0.0,125,52.345885
0.676,45,53.45649
0.8416,22,53.559201
0.0,1,53.564165
0.8992,14,53.627859
0.0,7,53.660563
0.0,27,53.7888
0.0,34,53.94598
0.7336,37,55.055991
0.0,5,55.07814
0.0,6,55.104807
0.8704,18,55.187923
0.8848,16,55.262094
0.0,122,57.552718
0.0,25,57.668507
0.928,10,57.715744
0.6256,52,58.845346
0.964,5,58.867127
0.9712,4,58.885694
0.0,53,59.123976
0.9784,3,59.138907
0.0,3,59.153041
0.0,39,60.212753
0.9712,4,60.233279
0.9856,2,60.242597
0.9928,1,60.248112
0.0,20,60.34822
0.0,5,60.371666
0.9064,13,60.433536
0.9784,3,60.44664
0.0,9,60.490032
0.0,3,60.506485
0.8488,21,60.606627
0.0,23,60.713921
0.9856,2,60.723417
0.0,74,62.817181
0.9208,11,62.868143
0.0,2,62.877658
0.9496,7,62.90969
0.8488,21,63.005323
0.0,9,63.046243
0.0,36,64.121544
0.9784,3,64.136853
0.0,63,64.434425
0.0,14,64.503175
0.0,6,64.531009
0.0,4,64.550373
0.0,3,64.564631
0.9856,2,64.574916
0.7912,29,65.650755
0.0,18,65.733072
0.0,23,65.837728
0.9928,1,65.842458
0.0,125,68.173082
0.0,9,68.215803
0.928,10,68.260596
0.0,14,68.326907
0.0,5,68.349102
0.7912,29,68.484554
0.9784,3,68.498018
0.0,36,69.603817
0.0,5,69.627689
0.0,4,69.647761
0.0,63,69.937044
0.9784,3,69.951231
0.928,10,69.997716
0.0,63,71.275741
0.7624,33,71.423048
0.0,23,71.529943
0.9496,7,71.560039
0.856,20,71.651391
0.928,10,73.461583
0.0,13,73.520274
0.0,17,73.597439
0.0,3,73.611023
0.0,6,73.640075
0.8344,23,73.745583
0.0,5,73.76877
0.0,11,73.81964
0.7984,28,73.954186
0.9496,7,73.985796
0.0,2,73.995242
0.9928,1,74.000185
0.0,40,75.200779
0.9856,2,75.210711
0.9712,4,75.229827
0.0,16,75.301512
0.0,4,75.321689
0.0,18,75.457452
0.0,14,75.521905
0.8416,22,75.627539
0.0,6,75.655848
0.9496,7,76.634238
0.0,4,76.661515
0.0,56,76.96844
0.0,27,77.110152
0.7336,37,77.29
0.0,7,79.095493
0.9784,3,79.109164
0.928,10,79.156508
0.9784,3,79.17078
0.0,61,79.452492
0.0,3,79.46619
0.9928,1,79.471065
0.64,50,80.610919
0.9928,1,80.719752
0.0,24,80.83105
0.0,3,80.845589
0.964,5,80.86818
0.0,9,80.908369
0.9928,1,80.913619
0.0,16,80.983318
0.964,5,81.005932
0.5968,56,81.255513
0.9856,2,82.171237
0.0,14,82.23622
0.0,5,82.260403
0.0,30,82.397189
0.7768,31,82.535353
0.9856,2,82.544672
0.0,35,82.70395
0.9208,11,84.557399
0.6832,44,84.770317
0.7624,33,84.917399
0.964,5,84.941111
0.892,15,85.009475
0.0,30,86.04564
0.0,3,86.060461
0.9856,2,86.070568
0.7264,38,86.239843
0.6832,44,86.432943
0.0,12,86.4841
0.9784,3,86.498023
0.8488,21,86.59379
0.9784,3,86.607645
0.0,18,87.69079
0.8416,22,87.830837
0.0,1,87.837807
0.0,12,87.893194
0.0,7,87.928196
0.928,10,87.974287
0.0,31,88.121073
0.0,125,90.642252
0.0,33,91.690223
0.4096,82,92.064116
0.9208,11,92.115703
0.0,40,93.190633
0.0,5,93.21783
0.8488,21,93.322207
0.0,52,93.572007
0.856,20,93.664207
0.964,5,93.68924
0.0,27,94.762466
0.0,27,95.118595
0.9784,3,95.160991
0.8128,26,95.515423
0.9928,1,95.531459
0.0,49,95.923418
0.0,8,95.958355
0.0,30,96.984208
0.928,10,97.036503
0.9064,13,97.102354
0.9496,7,97.135226
0.8992,14,97.198052
0.9352,9,97.240676
0.9208,11,97.292514
0.9712,4,97.312184
0.2512,104,98.705109
0.0,4,98.728305
0.3736,87,100.053533
0.9856,2,100.063862
0.5968,56,100.32303
0.9568,6,100.349084
0.6832,44,102.27779
0.0,41,102.468439
0.0,10,102.516998
0.0,6,102.543874
0.9424,8,102.580469
0.964,5,102.60434
0.0,2,102.613377
0.0,4,102.633935
0.5968,56,103.783466
0.712,40,103.967387
0.9712,4,103.989122
0.9856,2,103.999019
0.9856,2,104.010741
0.0,2,104.02096
0.0,2,104.030522
0.0,23,104.142424
0.8992,14,104.210235
0.0,4,104.230057
0.8776,17,104.308833
0.964,5,105.229749
0.0,19,105.314959
0.5608,61,105.597856
0.0,2,105.607566
0.0,2,105.6186
0.7984,28,105.746962
0.7264,38,107.669557
0.0,125,109.164107
0.9856,2,109.17388
0.0,54,109.435181
0.8776,17,109.518444
0.0,3,109.533267
0.9208,11,109.58389
0.8992,14,109.646848
0.0,7,110.57935
0.0,1,110.584498
0.9208,11,110.638416
0.0,45,110.854129
0.8776,17,110.935325
0.0,4,110.95509
0.9568,6,110.983914
0.9568,6,111.012275
0.9712,4,111.031548
0.7912,29,111.164537
0.0,17,113.046672
0.0,29,113.230247
0.8056,27,113.380044
0.0,10,113.424211
0.0,57,114.62057
0.9784,3,114.64007
0.9712,4,114.665684
0.0,5,114.696182
0.9712,4,114.715623
0.712,40,114.895368
0.0,125,116.361266
0.0,45,116.568773
0.0,8,116.606815
0.964,5,116.63089
0.9784,3,116.645576
0.0,12,118.281003
0.9352,9,118.398241
0.8344,23,118.582608
0.9568,6,118.610778
0.0,2,118.620782
0.9712,4,118.639664
0.964,5,118.664111
0.0,83,119.923759
0.9424,8,119.964917
0.9928,1,119.971526
0.7048,41,120.162834
0.0,16,120.234308
0.3952,84,121.518625
0.0,58,121.786215
0.0,33,121.944752
0.8416,22,123.074842
0.0,13,123.257367
0.9712,4,123.313934
0.9496,7,123.398803
0.0,2,123.433031
0.9856,2,123.452412
0.0,125,125.376323
0.0,10,125.424962
0.0,6,125.451173
0.4024,83,126.719824
0.4312,79,127.10322
0.0,12,127.162013
0.964,5,127.18496
0.0,1,127.190312
0.0,3,127.20629
0.9064,13,127.264055
0.0,93,128.649679
0.0,24,128.930699
0.9928,1,128.94535
0.9856,2,128.967749
0.8272,24,130.59036
0.0,100,131.049995
0.0,6,131.077972
0.676,45,132.633975
0.9784,3,132.648733
0.0,29,132.791855
0.0,3,132.806841
0.0,3,132.821257
0.0,22,132.926058
0.0,7,132.959061
0.964,5,132.984116
0.9784,3,132.998796
0.0,6,133.028947
0.676,45,134.195824
0.0,67,134.510943
0.0,11,134.563261
0.9424,8,134.601378
0.9496,7,135.619974
0.82,25,135.742677
0.9928,1,135.749532
0.8416,22,135.852542
0.9928,1,135.85801
0.7984,28,135.992066
0.9352,9,136.038066
0.0,15,136.110945
0.424,80,137.530229
0.0,6,137.559096
0.0,2,137.569475
0.8488,21,137.669329
0.0,3,137.685072
0.9568,6,137.712322
0.0,1,137.717196
0.9064,13,137.781283
0.0,43,138.890566
0.8992,14,138.95561
0.0,8,139.027771
0.9208,11,139.192897
0.7696,32,139.607803
0.0,30,139.990914
0.0,125,141.662897
0.9136,12,141.719346
0.964,5,142.66363
0.9928,1,142.668587
0.9568,6,142.698574
0.9352,9,142.742053
0.0,29,142.880061
0.0,5,142.904775
0.0,125,144.491795
0.0,16,144.560147
0.28,100,146.696588
0.8776,17,146.77192
0.0,57,147.029423
0.0,4,147.05379
0.9064,13,147.11709
0.0,12,148.073698
0.0,5,148.097569
0.9928,1,148.102708
0.0,2,148.112742
0.0,22,148.216049
0.8056,27,148.348788
0.8992,14,148.414734
0.0,2,148.424359
0.8056,27,148.547482
0.6976,42,149.727948
0.0,1,149.734912
0.9784,3,149.756568
0.0,8,149.808327
0.9784,3,149.83099
0.0,3,149.849836
0.0,43,150.112314
0.0,4,150.131601
0.0,4,150.152244
0.0,7,150.185174
0.9568,6,150.214957
0.0,5,150.239815
0.0,8,150.275639
0.0,3,150.291895
0.0,3,150.305213
0.0,125,152.653006
0.9064,13,153.614993
0.928,10,153.660202
0.9784,3,153.673683
0.8488,21,153.768803
0.0,6,153.797117
0.9928,1,153.801883
0.0,16,153.877067
0.9568,6,153.905778
0.0,11,153.958195
0.0,9,153.999002
0.0,29,154.135242
0.0,1,154.140153
0.0,21,155.175636
0.0,8,155.224097
0.4672,74,155.665505
0.0,125,157.998616
0.0,10,158.044824
0.0,4,158.0633
0.9784,3,158.077388
0.7264,38,159.155529
0.0,1,159.160621
0.0,2,159.171357
0.0,2,159.180651
0.0,17,159.25809
0.0,29,159.394586
0.0,5,159.417825
0.0,6,159.445146
0.9424,8,159.480743
0.7336,37,159.6929
0.9352,9,160.637435
0.46,75,160.991046
0.9856,2,161.000732
0.0,5,161.024987
0.9928,1,161.030128
0.0,9,161.070556
0.9856,2,161.080482
0.0,12,161.13442
0.7192,39,163.074142
0.9424,8,163.10992
0.0,3,163.124295
0.9352,9,163.166225
0.0,94,164.561779
0.0,8,164.610633
0.8632,19,164.805798
0.0,7,164.83874
0.5536,62,165.120846
0.0,32,166.183195
0.0,14,166.246152
0.9784,3,166.259903
0.5896,57,166.518635
0.8848,16,166.590939
0.0,125,168.940715
0.9784,3,168.955837
0.9928,1,168.96112
0.0,19,169.050652
0.0,1,169.055461
0.0,12,170.000851
0.0,5,170.079361
0.8992,14,170.142366
0.0,3,170.155623
0.9784,3,170.171764
0.0,7,170.204111
0.9784,3,170.219978
0.0,11,170.270399
0.9856,2,170.279661
0.9784,3,170.294374
0.9928,1,170.300616
0.856,20,170.390645
0.9424,8,170.428871
0.82,25,170.546286
0.6688,46,171.681998
0.0,2,171.691976
0.0,9,171.734545
0.0,4,171.754889
0.9856,2,171.765056
0.6976,42,171.954801
0.0,3,171.968091
0.0,2,171.977617
0.4384,78,174.055928
0.0,125,175.523555
0.9712,4,175.543863
0.0,105,177.36231
0.7048,41,177.610371
0.0,14,177.69342
0.9712,4,177.711429
0.8128,26,177.83633
0.9928,1,177.841398
0.964,5,177.865989
0.7912,29,179.78034
0.0,23,179.888503
0.0,1,179.893351
0.9928,1,179.898433
0.9784,3,179.913307
0.0,2,179.922612
0.0,19,180.008956
0.6904,43,180.221555
0.0,1,180.226617
0.7192,39,181.297653
0.0,125,182.824552
0.9784,3,182.844561
0.0,8,182.895198
0.2224,108,185.241365
0.784,30,185.380158
0.0,125,186.838439
0.9568,6,186.866023
0.9856,2,186.876505
0.5824,58,187.152654
0.0,11,187.203193
0.964,5,187.227556
0.0,5,187.252218
0.0,4,187.272052
0.0,6,188.218694
0.9784,3,188.233492
0.9352,9,188.274655
0.9712,4,188.295191
0.9352,9,188.337319
0.9712,4,188.356432
0.0,60,188.630321
0.9352,9,188.66935
0.0,2,188.679857
0.6688,46,190.07404
0.9856,2,190.095326
0.0,3,190.143173
0.0,6,190.330186
0.244,105,191.991683
0.9712,4,192.010173
0.8776,17,192.092403
0.964,5,192.116171
0.0,45,192.316156
0.0,7,192.348245
0.0,4,192.368038
0.0,16,192.439998
0.9928,1,192.446069
0.928,10,192.49251
0.0,4,192.510873
0.7768,31,193.560256
0.0,6,193.591647
0.9928,1,193.596791
0.0,1,193.602187
0.9784,3,193.617552
0.9784,3,193.632221
0.0,125,195.357653
0.0,19,195.636367
0.8272,24,195.970969
0.9784,3,196.013314
0.9784,3,196.050246
0.964,5,196.119226
0.9784,3,196.166449
0.9856,2,196.187475
0.856,20,196.412724
0.0,3,196.427278
0.9784,3,196.442094
0.5392,64,197.651143
