#{"t_start": 1729012079.766342, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.0,2,1.923447
0.0,105,2.412884
0.0,2,2.422601
0.2512,104,4.063518
0.0,125,6.386238
0.9712,4,6.404543
0.2224,108,7.864809
0.8272,24,7.974331
0.0,125,9.457055
0.748,35,9.619516
0.3952,84,11.763391
0.0,3,11.778575
0.0,53,12.908019
0.4096,82,13.340946
0.7264,38,13.510163
0.0,50,14.659788
0.0,125,16.939755
0.7768,31,17.095346
0.7768,31,17.234719
0.8488,21,17.329736
0.9064,13,18.280532
0.8056,27,18.400194
0.0,43,18.594701
0.6832,44,18.796135
0.856,20,19.780212
0.0,2,19.790854
0.0,57,20.05999
0.0,64,21.24486
0.9064,13,21.304837
0.9928,1,21.309832
0.0,13,21.369059
0.8416,22,21.567585
0.4312,79,23.525436
0.8344,23,23.6674
0.9568,6,23.707119
0.8272,24,23.846579
0.9856,2,23.856319
0.928,10,23.901712
0.0,74,25.127352
0.0,8,25.16594
0.0,2,25.175893
0.748,35,25.346794
0.9928,1,25.352564
0.9784,3,25.368286
0.9856,2,25.377841
0.9856,2,25.387437
0.0,3,25.401069
0.856,20,25.491582
0.8056,27,25.615156
0.0,7,26.541882
0.0,13,26.601998
0.0,50,26.8317
0.0,17,26.910677
0.0,125,29.327048
0.9928,1,29.333152
0.8128,26,29.453103
0.928,10,29.499501
0.9712,4,29.517195
0.7768,31,30.567183
0.964,5,30.59652
0.9856,2,30.607316
0.0,125,32.126241
0.9928,1,32.131585
0.0,125,34.437897
0.5464,63,34.729548
0.0,4,34.748665
0.0,9,34.790224
0.9568,6,34.817461
0.0,5,34.840032
0.0,50,35.973664
0.9784,3,35.986655
0.9784,3,36.001584
0.0,3,36.016521
0.0,2,36.02634
0.964,5,36.050793
0.8272,24,36.157838
0.8056,27,36.278017
0.964,5,36.301768
0.0,25,37.318052
0.9856,2,37.328789
0.0,1,37.333904
0.8128,26,37.459022
0.8776,17,37.535997
0.0,8,37.574975
0.0,8,37.610695
0.9784,3,37.626268
0.892,15,37.691696
0.9856,2,37.700824
0.964,5,37.72442
0.0,11,37.775501
0.9424,8,37.813945
0.0,9,37.856563
0.0,4,37.877843
0.928,10,39.695507
0.0,4,39.714803
0.0,5,39.738457
0.9928,1,39.744125
0.0,5,39.766683
0.748,35,39.931218
0.5392,64,40.226128
0.8704,18,41.231004
0.2728,101,41.699103
0.0,11,41.75102
0.6616,47,42.841516
0.9784,3,42.855515
0.6976,42,43.047515
0.9352,9,43.087396
0.892,15,43.157855
0.0,125,45.521406
0.964,5,45.54653
0.9712,4,45.56566
0.0,29,46.59876
0.0,125,48.099093
0.928,10,48.145248
0.784,30,48.286976
0.9568,6,48.316226
0.9496,7,48.349721
0.9208,11,48.399223
0.0,1,48.404643
0.8776,17,48.482489
0.0,39,49.656404
0.0,59,50.398682
0.9784,3,50.437693
0.9928,1,50.451859
0.0,16,50.669903
0.9856,2,50.694742
0.0,7,50.790139
0.964,5,50.814571
0.0,125,52.378129
0.7696,32,53.427411
0.8704,18,53.511963
0.856,20,53.604344
0.0,52,53.850558
0.856,20,53.940515
0.0,2,53.950372
0.0,125,55.749629
0.0,72,57.524
0.748,35,57.686086
0.46,75,58.921172
0.0,8,58.956513
0.0,19,59.04274
0.0,47,59.264128
0.0,35,60.309453
0.0,36,60.479086
0.9856,2,60.490093
0.9352,9,60.533977
0.928,10,60.581515
0.9136,12,60.640289
0.0,22,60.740963
0.9136,12,60.794261
0.0,1,60.799177
0.7984,28,62.679603
0.676,45,62.891544
0.0,125,64.379328
0.0,1,64.384912
0.7264,38,64.569565
0.0,14,64.636177
0.8272,24,65.685937
0.4816,72,66.017723
0.9712,4,66.036539
0.9712,4,66.056298
0.0,5,66.078621
0.892,15,66.149541
0.856,20,67.993955
0.0,26,68.112501
0.0,2,68.121562
0.9496,7,68.153667
0.9568,6,68.182821
0.892,15,68.250204
0.9928,1,68.254987
0.9928,1,68.260641
0.784,30,68.399423
0.0,2,68.410083
0.9496,7,68.441109
0.8992,14,68.508554
0.0,11,69.495806
0.0,1,69.50262
0.0,14,69.566097
0.8704,18,69.653984
0.8848,16,69.729993
0.6112,54,69.974086
0.8704,18,70.05668
0.0,20,71.118564
0.0,65,71.432024
0.64,50,73.423023
0.1864,113,73.946882
0.5104,68,75.278717
0.0,23,75.437498
0.928,10,75.483518
0.8992,14,75.550219
0.0,19,75.642005
0.9208,11,76.640669
0.568,60,76.973324
0.9136,12,77.033854
0.0,2,77.047009
0.8272,24,77.167236
0.9784,3,77.182517
0.0,18,77.270212
0.3016,97,79.49384
0.9064,13,79.557281
0.9424,8,79.595822
0.964,5,79.61973
0.0,3,79.63399
0.0,2,79.644611
0.8992,14,80.611118
0.0,18,80.797786
0.8776,17,80.877534
0.6328,51,81.101751
0.9424,8,81.138314
0.0,19,81.223201
0.0,16,82.2026
0.9352,9,82.245267
0.0,8,82.283606
0.0,125,84.663163
0.9424,8,84.69948
0.0,2,84.709632
0.0,10,84.755098
0.7984,28,84.881029
0.3952,84,86.165654
0.0,1,86.170481
0.8776,17,86.244523
0.0,114,87.778217
0.9856,2,87.791046
0.9856,2,87.805661
0.6688,46,88.03216
0.9784,3,88.04633
0.0,3,88.061336
0.7264,38,88.430418
0.8632,19,90.268044
0.6832,44,90.470704
0.0,10,90.516347
0.9928,1,90.521251
0.9784,3,90.534725
0.964,5,90.558467
0.8344,23,90.664259
0.0,5,90.686136
0.6616,47,91.801656
0.9568,6,91.828997
0.0,6,91.85594
0.8704,18,91.937281
0.9928,1,91.94228
0.4384,78,93.190778
0.0,1,93.196732
0.9856,2,93.207611
0.0,36,93.380719
0.9928,1,93.385606
0.0,10,93.431539
0.0,9,93.477813
0.0,11,93.532943
0.9784,3,93.547002
0.0,39,93.72841
0.0,2,93.738898
0.1792,114,95.886833
0.7552,34,96.929591
0.0,15,96.998231
0.0,82,97.391984
0.0,10,97.43587
0.964,5,97.45829
0.9496,7,98.402355
0.0,2,98.412594
0.9784,3,98.426447
0.928,10,98.473765
0.0,3,98.489186
0.9784,3,98.503253
0.0,5,98.525342
0.0,18,98.607572
0.9064,13,98.667492
0.9208,11,98.721853
0.5968,56,98.992342
0.8488,21,100.001354
0.0,7,100.034094
0.0,6,100.063987
0.7624,33,100.216676
0.0,8,100.252261
0.0,2,100.262309
0.0,4,100.279763
0.0,5,100.30389
0.0,12,100.368033
0.9712,4,100.424737
0.0,2,100.447658
0.0,2,100.482777
0.0,6,100.568541
0.9352,9,100.688372
0.0,4,100.732494
0.0,3,100.777743
0.0,42,102.414447
0.964,5,102.438461
0.0,3,102.453697
0.6688,46,102.670757
0.6112,54,103.809802
0.9496,7,103.846269
0.9928,1,103.851177
0.7984,28,103.978445
0.9568,6,104.010882
0.0,125,105.496431
0.964,5,105.519109
0.928,10,105.564597
0.0,9,105.607504
0.0,117,107.891691
