#{"t_start": 1729012079.7672002, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.8056,27,2.036142
0.0,87,2.445388
0.0,22,3.715662
0.532,65,4.002393
0.9712,4,4.022035
0.0,58,6.056799
0.7624,33,6.204202
0.0,125,7.732682
0.9352,9,7.77343
0.0,92,9.103508
0.0,28,9.225257
0.9136,12,9.279753
0.0,125,11.62397
0.496,70,11.934543
0.0,103,13.35919
0.5968,56,14.519337
0.0,8,14.559502
0.7048,41,14.756396
0.9712,4,14.775661
0.0,40,14.955618
0.7336,37,16.7984
0.0,3,16.849682
0.0,25,16.963124
0.9856,2,16.972894
0.8344,23,17.089466
0.3736,87,18.373303
0.9568,6,18.400303
0.7984,28,18.525324
0.0,37,18.695345
0.0,4,18.715453
0.9712,4,18.734744
0.0,10,18.777909
0.0,4,18.796031
0.8704,18,19.769861
0.0,13,19.831159
0.6832,44,20.038869
0.0,18,20.124923
0.856,20,20.217265
0.5608,61,21.386885
0.9784,3,21.400605
0.0,8,21.480034
0.9496,7,21.567556
0.9856,2,21.603272
0.748,35,22.051852
0.0,8,22.161115
0.316,95,23.883494
0.0,43,24.071681
0.9928,1,24.076646
0.0,36,25.136166
0.0,8,25.17595
0.9784,3,25.190221
0.9568,6,25.219197
0.892,15,25.289922
0.9712,4,25.308158
0.6904,43,25.514804
0.0,2,25.523957
0.928,10,25.569441
0.9568,6,25.595784
0.8848,16,26.565501
0.0,15,26.634888
0.5464,63,26.923577
0.8992,14,26.988098
0.9424,8,27.026784
0.0,5,27.056887
0.8344,23,29.000112
0.9424,8,29.036461
0.0,15,29.101708
0.9784,3,29.118209
0.6256,52,29.354717
0.0,3,29.369148
0.8776,17,29.447809
0.6904,43,30.551435
0.4888,71,30.883139
0.0,1,30.888078
0.0,15,30.955234
0.9064,13,31.01384
0.0,5,31.989324
0.676,45,32.195229
0.9928,1,32.200314
0.0,18,32.285796
0.9496,7,32.316878
0.0,14,32.380381
0.0,24,32.488005
0.0,3,32.501962
0.7048,41,34.422058
0.9928,1,34.427053
0.9136,12,34.482287
0.0,3,34.496924
0.8128,26,34.620389
0.0,80,35.892713
0.82,25,36.005974
0.9712,4,36.026375
0.7264,38,36.198608
0.5176,67,37.410114
0.9568,6,37.439382
0.9352,9,37.481708
0.3304,93,39.685179
0.9208,11,39.738476
0.9064,13,39.799805
0.0,24,39.91092
0.9712,4,39.931266
0.8632,19,40.018435
0.0,3,40.032201
0.9424,8,40.070623
0.892,15,40.139533
0.9496,7,40.171931
0.0,70,41.417109
0.9856,2,41.426916
0.7264,38,41.59947
0.0,2,41.608575
0.9496,7,41.641068
0.0,10,41.688467
0.496,70,42.886377
0.0,52,43.126305
0.7768,31,44.514355
0.9208,11,44.665094
0.7336,37,45.272545
0.0,5,45.296447
0.9712,4,45.316989
0.8272,24,45.427028
0.0,21,45.526053
0.9928,1,45.530709
0.0,118,46.971381
0.0,5,46.99462
0.9928,1,47.001258
0.0,15,47.081181
0.0,51,48.235592
0.0,3,48.250113
0.0,8,48.286931
0.0,125,50.175922
0.0,5,50.24589
0.0,5,50.314827
0.0,3,50.367682
0.9784,3,50.404272
0.0,16,50.626251
0.9856,2,50.655476
0.9784,3,50.694697
0.9712,4,50.743073
0.0,7,50.809033
0.712,40,51.968508
0.0,8,52.017773
0.964,5,52.040843
0.0,9,52.081654
0.9352,9,52.123067
0.928,10,52.168807
0.9928,1,52.173683
0.9856,2,52.182894
0.0,6,52.211956
0.0,1,52.216949
0.0,92,53.544129
0.0,28,53.674563
0.9712,4,53.694859
0.9496,7,53.7271
0.9856,2,53.736926
0.0,125,55.249927
0.0,2,55.26148
0.0,35,55.626695
0.0,49,57.374939
0.0,8,57.410936
0.9424,8,57.446343
0.8992,14,57.512884
0.6832,44,57.719495
0.0,125,59.182125
0.0,1,59.187984
0.9496,7,59.220768
0.0,13,59.283076
0.9064,13,60.216563
0.9568,6,60.247513
0.9568,6,60.276567
0.9784,3,60.291538
0.0,1,60.297566
0.0,1,60.303135
0.964,5,60.32814
0.928,10,60.375428
0.9928,1,60.38156
0.82,25,60.499979
0.0,1,60.505906
0.892,15,60.575938
0.9856,2,60.586185
0.964,5,60.610577
0.0,5,60.634772
0.9208,11,60.685762
0.0,9,60.727286
0.0,27,62.600315
0.4888,71,62.932114
0.6112,54,64.089677
0.9208,11,64.140794
0.0,20,64.232752
0.0,55,64.496963
0.784,30,64.640638
0.9712,4,64.659595
0.9208,11,65.650205
0.9208,11,65.699354
0.0,6,65.727077
0.9352,9,65.767366
0.0,5,65.791012
0.0,2,65.800057
0.9928,1,65.804954
0.9064,13,65.863963
0.964,5,65.885945
0.0,30,66.02691
0.0,3,66.040792
0.0,15,66.109454
0.9784,3,66.124408
0.0,13,66.187419
0.7624,33,68.08859
0.9424,8,68.125658
0.7912,29,68.260659
0.0,76,69.551364
0.0,10,69.597276
0.0,3,69.612535
0.9784,3,69.627204
0.0,4,69.647247
0.0,16,69.72307
0.0,16,69.796561
0.0,48,70.014817
0.0,5,70.036998
0.748,35,71.183751
0.0,86,71.578343
0.9208,11,71.627464
0.9784,3,71.641261
0.8128,26,73.523863
0.9784,3,73.537212
0.0,18,73.619925
0.0,6,73.648482
0.0,19,73.734392
0.9928,1,73.73954
0.0,14,73.803998
0.9856,2,73.813461
0.9784,3,73.829215
0.9496,7,73.861924
0.0,1,73.866716
0.0,59,75.150199
0.9784,3,75.17045
0.0,11,75.223339
0.676,45,75.483478
0.0,17,75.564003
0.0,54,76.804374
0.0,2,76.816763
0.0,36,76.995043
0.0,36,77.182548
0.928,10,77.231272
0.5608,61,79.290423
0.8776,17,79.368118
0.0,53,79.61976
0.0,72,80.955944
0.0,27,81.073355
0.9712,4,81.090865
0.0,1,81.096333
0.0,16,81.16958
0.9208,11,81.217771
0.0,13,82.18445
0.9568,6,82.211276
0.9928,1,82.216432
0.0,2,82.226011
0.8488,21,82.323287
0.0,43,82.51585
0.9424,8,82.55338
0.7624,33,82.703393
0.0,8,82.737914
0.5392,64,84.84404
0.9784,3,84.85787
0.892,15,84.92561
0.9784,3,84.940581
0.0,22,85.042627
0.856,20,85.135898
0.9208,11,86.084434
0.1792,114,86.587063
0.0,38,87.791528
0.4456,77,88.354437
0.9568,6,88.385954
0.9784,3,88.399775
0.9136,12,90.150475
0.9568,6,90.226226
0.9712,4,90.253533
0.9352,9,90.296026
0.0,16,90.368603
0.0,6,90.397212
0.0,5,90.419957
0.9496,7,90.452417
0.9424,8,90.487876
0.964,5,90.510213
0.0,9,90.553127
0.9208,11,90.602686
0.9712,4,90.621434
0.0,43,91.717901
0.0,4,91.736239
0.6184,53,91.977626
0.9424,8,92.014227
0.9568,6,92.040692
0.0,64,93.230374
0.964,5,93.255809
0.0,12,93.315243
0.8848,16,93.39009
0.9856,2,93.399339
0.0,16,93.477855
0.9856,2,93.488663
0.0,7,93.522963
0.0,83,95.031301
0.0,16,95.255332
0.0,10,95.393179
0.0,39,95.829352
0.5896,57,96.978132
0.8632,19,97.076115
0.8056,27,97.201839
0.0,2,97.210782
0.0,60,98.40251
0.5176,67,98.71545
0.0,11,98.770885
0.9928,1,98.775992
0.9928,1,98.781295
0.6544,48,99.926132
0.0,32,100.073053
0.0,20,100.163509
0.0,2,100.17293
0.0,14,100.237752
0.4456,77,102.316605
0.0,4,102.334674
0.9208,11,102.386176
0.9784,3,102.400207
0.7336,37,102.574517
0.9136,12,102.633448
0.7912,29,102.765261
0.9928,1,102.771286
0.9136,12,103.719579
0.0,24,103.830023
0.9928,1,103.835055
0.7984,28,103.960647
0.0,8,104.003991
0.0,6,104.034554
0.9064,13,104.097775
0.7912,29,104.238842
0.748,35,105.295584
0.9568,6,105.323376
0.9928,1,105.328294
0.0,2,105.338383
0.0,15,105.409304
0.0,4,105.42709
0.0,18,105.509725
0.0,22,105.612506
0.0,17,105.692124
0.0,41,107.625827
0.0,48,107.846265
0.0,36,108.005109
0.964,5,108.028572
0.9712,4,108.049427
0.0,68,109.295132
0.3952,84,110.592634
0.0,6,110.62164
0.9856,2,110.632208
0.0,27,110.762574
0.0,6,110.790439
0.9856,2,110.800025
0.4096,82,112.968029
0.9784,3,112.98735
0.9712,4,113.012045
0.9712,4,113.038746
0.8704,18,113.149658
0.9784,3,113.171335
0.0,8,113.22174
0.0,7,113.266379
0.0,5,113.297629
0.784,30,113.441504
0.0,125,114.967914
0.0,31,115.105915
0.0,19,116.092624
0.0,66,116.391761
0.0,18,116.47425
0.0,12,116.529836
0.0,125,118.846434
0.9568,6,118.873308
0.928,10,118.917443
0.0,32,119.947042
0.7336,37,120.123388
0.0,125,121.597273
0.8128,26,121.719705
0.0,5,121.741121
0.8056,27,121.866908
0.9784,3,121.88153
0.0,125,124.182469
0.0,26,125.197502
0.9928,1,125.202848
0.0,13,125.265228
0.0,5,125.288893
0.0,125,126.757423
0.0,4,126.77669
0.0,31,126.926191
0.9352,9,126.96621
0.9928,1,126.971277
0.0,125,128.511713
0.964,5,128.53563
0.9208,11,128.588572
0.0,3,128.60352
0.0,2,128.614383
0.0,3,128.628538
0.9928,1,128.633733
0.0,20,128.842488
0.6544,48,130.65459
0.748,35,130.814493
0.0,4,130.83292
0.0,16,130.907192
0.0,1,130.911967
0.8488,21,131.00556
0.9712,4,131.02539
0.0,37,132.203023
0.9856,2,132.215401
0.9928,1,132.222609
0.9928,1,132.229442
0.9568,6,132.265118
0.0,13,132.653672
0.0,8,132.693235
0.0,4,132.711504
0.0,43,132.918904
0.0,39,134.062196
0.0,15,134.131839
0.0,4,134.151719
0.7912,29,134.287904
0.9424,8,134.326123
0.0,17,134.406529
0.0,125,135.991524
0.9136,12,136.050908
0.9208,11,136.103802
0.0,2,136.115091
0.0,2,136.124316
0.9784,3,136.139405
0.3664,88,137.596911
0.892,15,137.668971
0.0,75,138.930875
0.5536,62,139.678368
0.8848,16,139.877648
0.9928,1,139.888157
0.0,8,140.00501
0.0,1,140.010766
0.0,15,141.117378
0.8272,24,141.271425
0.964,5,141.303121
0.0,31,141.44443
0.5608,61,141.723299
0.928,10,142.692544
0.9496,7,142.726531
0.0,6,142.756903
0.9928,1,142.76306
0.1432,119,144.280306
0.0,102,145.163426
0.0,1,145.179079
0.0,125,147.041367
0.0,54,148.200395
0.964,5,148.225431
0.9856,2,148.234524
0.928,10,148.283533
0.0,5,148.30887
0.0,11,148.361188
0.0,8,148.400055
0.0,3,148.414199
0.9784,3,148.428683
0.0,24,148.537121
0.0,6,148.564275
0.0,5,148.587021
0.0,6,148.614558
0.9712,4,149.583046
0.8848,16,149.680569
0.0,5,149.712786
0.9928,1,149.72035
0.7912,29,149.913764
0.0,10,149.977913
0.0,114,152.319784
0.7912,29,152.4521
0.9784,3,152.465151
0.0,8,152.500102
0.0,65,153.695598
0.9784,3,153.709221
0.0,14,153.772571
0.9496,7,153.80576
0.0,125,155.377861
0.8704,18,155.491901
0.0,4,155.518203
0.0,3,155.536989
0.7336,37,155.721932
0.0,5,155.744002
0.0,2,155.753164
0.0,6,155.779211
0.9928,1,155.784513
0.9712,4,155.802
0.9784,3,157.585508
0.9352,9,157.626126
0.0,110,158.125545
0.892,15,159.098812
0.9424,8,159.135945
0.0,2,159.145229
0.0,125,160.66891
0.9784,3,160.683007
0.0,10,160.732117
0.9424,8,160.770418
0.0,4,160.790019
0.0,1,160.795707
0.928,10,160.841487
0.0,6,160.869982
0.0,20,160.96018
0.9712,4,160.979815
0.8776,17,161.060249
0.9856,2,161.070022
0.8344,23,161.174253
0.0,125,163.518448
0.9568,6,163.546031
0.0,37,164.790053
0.9784,3,164.805277
0.7768,31,164.944962
0.9424,8,164.982006
0.0,55,166.148157
0.6616,47,166.361017
0.9784,3,166.374527
0.9784,3,166.38964
0.0,1,166.394604
0.0,1,166.399391
0.0,122,168.731278
0.0,8,168.769608
0.9856,2,168.779551
0.0,5,168.801986
0.9856,2,168.812313
0.9856,2,168.821603
0.8056,27,168.945482
0.0,3,168.961137
0.5824,58,170.175613
0.0,19,170.263746
0.0,5,170.28817
0.0,37,170.46043
0.0,33,170.615752
0.8128,26,171.655993
0.8056,27,171.788255
0.0,125,174.07935
0.0,2,174.089645
0.9712,4,174.107191
0.9856,2,174.116514
0.0,11,174.169967
0.7696,32,174.311412
0.9784,3,174.326092
0.964,5,174.349714
0.8704,18,174.431456
0.0,108,176.129325
0.964,5,176.151841
0.0,3,176.165478
0.9712,4,176.183696
0.9784,3,176.198664
0.0,5,176.220808
0.8344,23,177.354891
0.9712,4,177.379657
0.8488,21,177.506103
0.9856,2,177.518725
0.8848,16,177.616356
0.964,5,177.647645
0.0,6,177.682225
0.9136,12,177.739379
0.9712,4,177.758995
0.0,12,177.816685
0.8992,14,177.885642
0.8704,18,179.746719
0.0,13,179.807671
0.964,5,179.832815
0.0,111,181.249269
0.9928,1,181.254893
0.5608,61,181.527044
0.928,10,181.571324
0.0,14,181.636022
0.0,13,181.701226
0.9784,3,181.717628
0.0,1,181.722712
0.0,30,182.811193
0.4744,73,183.263036
0.0,14,183.325464
0.9928,1,183.33025
0.0,59,185.357477
0.9928,1,185.362669
0.8776,17,185.444344
0.0,18,185.525156
0.964,5,185.547648
0.0,16,185.618981
0.9928,1,185.62382
0.9784,3,185.636703
0.9568,6,185.665853
0.8992,14,185.731414
0.8632,19,186.708649
0.9208,11,186.756356
0.0,16,186.82803
0.0,81,187.212947
0.0,5,187.235901
0.0,1,187.241792
0.0,6,187.271611
0.9928,1,187.276673
0.8992,14,188.260188
0.964,5,188.283488
0.0,23,188.393443
0.0,125,190.391185
0.8776,17,190.625994
0.928,10,190.752878
0.6904,43,190.947236
0.9712,4,190.965006
0.7624,33,192.024006
0.0,2,192.034571
0.0,38,192.211358
0.0,18,192.288757
0.9352,9,192.328489
0.9784,3,192.341802
0.0,4,192.361874
0.0,3,192.375887
0.8704,18,192.459894
0.9424,8,192.496299
0.82,25,193.513694
0.9208,11,193.569674
0.8848,16,193.653798
0.9568,6,193.682634
0.9064,13,193.741972
0.0,2,193.75131
0.9928,1,193.756148
0.6616,47,193.967516
0.8488,21,195.040181
0.0,1,195.047617
0.9208,11,195.117435
0.9856,2,195.131189
0.8848,16,195.351158
0.9784,3,195.386427
0.9784,3,195.426796
0.9784,3,195.474143
0.9424,8,195.583996
0.0,1,195.602019
0.0,2,195.635922
0.9496,7,195.728155
0.964,5,195.805753
0.9496,7,195.905288
0.9928,1,195.912208
0.0,125,197.720534
0.7912,29,197.860042
0.9712,4,197.879155
0.0,6,197.909789
0.9208,11,197.95993
0.8992,14,198.922249
0.0,15,198.990984
0.9856,2,199.000857
0.9712,4,199.021357
0.9928,1,199.026943
0.9568,6,199.055127
0.9928,1,199.060193
0.0,3,199.074804
0.9712,4,199.096835
0.964,5,199.121929
0.0,95,200.54998
0.9568,6,200.586421
0.0,5,200.616682
0.0,3,200.635244
0.9712,4,200.662923
0.0,8,200.712393
0.0,3,200.730725
0.9928,1,200.737216
0.0,6,200.774989
0.0,8,200.815944
0.9856,2,200.825249
0.0,6,200.854002
0.9928,1,200.858894
0.9928,1,200.863746
0.9064,13,201.027243
0.9784,3,201.073105
0.0,4,201.127069
0.964,5,201.195406
0.3592,89,202.993118
0.9856,2,203.002286
0.0,3,203.016389
0.0,2,203.026098
0.8632,19,203.110394
0.0,125,204.552291
0.0,47,204.777843
0.964,5,205.711826
0.0,70,206.109537
0.0,44,206.3059
0.8704,18,208.142311
0.0,6,208.172454
0.0,5,208.195457
0.0,4,208.213752
0.9784,3,208.229813
0.928,10,208.274973
0.0,10,208.320107
0.0,3,208.333633
0.0,42,208.527346
0.9928,1,208.532397
0.892,15,208.604519
0.0,23,208.710027
0.9856,2,209.63276
0.0,4,209.650106
0.676,45,209.859188
0.9784,3,209.87251
0.0,14,209.934517
0.0,7,209.96654
0.0,22,210.06193
0.9856,2,210.071829
0.0,60,211.242546
0.9496,7,211.274453
0.8776,17,211.355004
0.0,2,211.365348
0.9784,3,211.381008
0.0,2,211.390828
0.784,30,211.53088
0.9712,4,211.549991
0.9136,12,211.608184
0.0,8,211.645062
0.0,2,211.654284
0.0,8,211.690609
0.7336,37,213.611221
0.9496,7,213.645177
0.9784,3,213.65992
0.892,15,213.727367
0.0,19,213.812241
0.9712,4,213.832671
0.0,15,213.902447
0.9496,7,213.936036
0.9568,6,213.964564
0.8272,24,215.099042
0.964,5,215.130071
0.0,4,215.157852
0.9352,9,215.214106
0.0,14,215.298446
0.9928,1,215.305676
0.0,3,215.321862
0.9568,6,215.349982
0.0,31,215.49055
0.82,25,215.604593
0.964,5,215.630311
0.9712,4,215.650282
0.0,2,215.659421
0.9784,3,215.673376
0.0,31,216.724142
0.9856,2,216.734679
0.9856,2,216.745192
0.9424,8,216.781516
0.0,8,216.819427
0.9352,9,216.861648
0.0,18,216.946347
0.9424,8,216.983477
0.9784,3,216.998292
0.424,80,219.169142
0.0,72,219.498228
0.0,8,219.535952
0.964,5,219.557963
0.8776,17,220.545522
0.9784,3,220.559711
0.0,5,220.807411
0.0,3,220.821509
0.964,5,220.845778
0.0,125,222.403402
0.0,2,222.413078
0.9712,4,222.43144
0.0,11,222.482701
0.9784,3,222.497259
0.0,20,222.595101
0.0,125,224.852315
0.9712,4,224.87152
0.9712,4,224.890182
0.0,3,224.903314
0.9496,7,224.937139
0.1504,118,226.478387
0.0,10,226.526122
0.9856,2,226.535979
0.0,6,226.564613
0.928,10,226.609217
0.0,4,226.626699
0.0,7,226.658532
0.0,12,226.713342
0.8992,14,227.592925
0.0,5,227.617853
0.9856,2,227.628682
0.0,56,227.898179
0.0,3,227.91361
0.856,20,228.013391
0.0,40,228.197811
0.9712,4,229.513005
0.7336,37,229.983988
0.0,125,231.726179
0.9928,1,231.732347
0.9928,1,231.73766
0.9928,1,231.742844
0.9784,3,231.756864
0.0,6,231.785193
0.9496,7,231.81916
0.9424,8,231.855985
0.0,7,231.888958
0.0,1,231.8939
0.0,15,231.96103
0.9856,2,231.970209
0.964,5,231.994584
0.9352,9,232.036937
0.0,10,232.081899
0.9064,13,232.13929
0.9568,6,233.079199
0.0,3,233.093763
0.9424,8,233.129579
0.9928,1,233.135031
0.8776,17,233.212363
0.9712,4,233.232321
0.0,3,233.246025
0.9856,2,233.255266
0.9064,13,233.314186
0.964,5,233.337424
0.9928,1,233.34237
0.8848,16,233.414979
0.5536,62,234.672512
