#{"t_start": 1729012079.7629488, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.0,57,2.173194
0.0,12,2.247838
0.8704,18,2.327182
0.0,5,2.349582
0.0,17,2.424394
0.0,18,2.515404
0.0,59,3.9392
0.7696,32,4.089573
0.676,45,6.058791
0.0,4,6.078783
0.6688,46,6.281008
0.8416,22,6.375056
0.7048,41,6.555267
0.0,109,8.026773
0.0,6,8.053623
0.0,62,9.242091
0.0,41,9.434845
0.0,50,11.436268
0.0,99,11.875777
0.7192,39,13.013649
0.9928,1,13.018496
0.4384,78,13.366882
0.46,75,14.62138
0.0,1,14.627315
0.1144,123,16.902111
0.0,6,16.928662
0.8056,27,17.061453
0.5464,63,18.241662
0.0,65,18.533485
0.0,31,18.674608
0.9496,7,18.70821
0.0,1,18.713179
0.964,5,18.736939
0.7768,31,19.767605
0.8128,26,19.891796
0.9568,6,19.919902
0.9928,1,19.925537
0.9424,8,19.963059
0.0,10,20.010567
0.0,36,20.177359
0.0,21,20.275679
0.0,9,21.205155
0.9784,3,21.218571
0.0,32,21.365998
0.892,15,21.476374
0.7552,34,21.904714
0.0,7,21.996485
0.9928,1,22.012358
0.0,12,22.175497
0.0,13,22.337267
0.0,16,23.49986
0.64,50,23.811213
0.0,37,23.982825
0.532,65,25.173115
0.892,15,25.244063
0.0,16,25.321687
0.0,9,25.369287
0.46,75,26.609119
0.0,25,26.726148
0.0,7,26.7565
0.9928,1,26.762634
0.9496,7,26.792984
0.0,5,26.815158
0.6544,48,27.042657
0.0,2,27.053725
0.0,6,27.085077
0.9928,1,27.091267
0.0,3,27.127109
0.0,20,29.029802
0.6688,46,29.238094
0.0,33,29.389844
0.928,10,29.435546
0.0,2,29.445091
0.748,35,30.511675
0.0,10,30.559117
0.9712,4,30.581531
0.0,7,30.620431
0.0,20,30.710451
0.0,10,30.756228
0.0,16,30.825911
0.9712,4,30.844121
0.7984,28,30.971603
0.964,5,30.993711
0.5248,66,32.251568
0.5248,66,32.549163
0.748,35,34.445338
0.0,5,34.466712
0.8704,18,34.551847
0.0,3,34.566726
0.0,8,34.604313
0.9784,3,34.618051
0.892,15,34.684931
0.9784,3,34.698445
0.5968,56,35.86338
0.0,57,36.124037
0.5176,67,37.330389
0.0,5,37.355345
0.9424,8,37.392492
0.0,3,37.40789
0.7408,36,37.575934
0.0,17,37.654878
0.8848,16,37.726249
0.0,5,37.749183
0.0,24,37.864632
0.0,22,39.740095
0.9424,8,39.778189
0.82,25,39.89484
0.8344,23,40.001665
0.9928,1,40.00667
0.0,10,40.053478
0.9496,7,40.087513
0.0,15,40.156058
0.8848,16,40.22772
0.0,9,41.190464
0.892,15,41.260942
0.9928,1,41.265706
0.9856,2,41.275192
0.9208,11,41.326109
0.892,15,41.395592
0.0,5,41.419457
0.9856,2,41.429128
0.0,14,41.493406
0.0,22,41.593499
0.9352,9,41.634543
0.9064,13,41.696319
0.9568,6,41.725947
0.0,125,43.174098
0.9136,12,43.226637
0.0,2,44.426668
0.9568,6,44.511411
0.0,6,44.583004
0.0,50,45.309662
0.7192,39,45.490518
0.9496,7,45.523125
0.0,3,45.53839
0.4744,73,46.771594
0.0,25,46.887412
0.0,1,46.892339
0.0,7,46.923981
0.8632,19,47.01317
0.0,10,47.066212
0.9928,1,47.072064
0.0,2,47.082946
0.0,18,48.082946
0.0,22,48.185125
0.0,4,48.204777
0.9568,6,48.233591
0.9064,13,48.294827
0.9136,12,48.351385
0.8992,14,48.416447
0.8704,18,48.498067
0.0,11,48.548422
