#{"t_start": 1729092630.0146074, "env_id": "roundabout-v0"}
r,l,t
9.625,11,12.735487
10.583333,11,23.805601
5.0,6,29.923662
4.791667,6,35.905638
9.041667,11,46.977771
10.375,11,58.053582
10.333333,11,69.333502
9.333333,11,80.49848
10.291667,11,91.751888
9.208333,11,102.735725
9.208333,11,113.814693
1.166667,2,115.857155
10.708333,11,126.986468
9.291667,11,138.199327
9.083333,11,149.279829
3.0,4,153.328831
10.0,11,164.481487
9.416667,11,175.531291
3.791667,5,180.705575
9.208333,11,191.701715
10.541667,11,202.833487
1.166667,2,204.920269
10.125,11,216.084815
10.583333,11,227.154876
9.041667,11,238.269286
9.791667,11,249.339107
1.041667,2,251.403027
9.0,11,265.962203
9.541667,11,277.149897
9.458333,11,288.358446
9.5,11,299.531001
9.916667,11,310.641558
9.5,11,321.799206
3.75,5,326.832695
10.416667,11,338.008402
9.416667,11,349.080798
1.041667,2,351.182568
1.125,2,353.19766
1.083333,2,355.177429
9.333333,11,366.273263
9.291667,11,377.580819
9.541667,11,388.682558
1.041667,2,390.702578
10.041667,11,401.74789
3.708333,5,406.787389
9.666667,11,417.912378
10.5,11,428.893322
9.458333,11,439.956666
9.0,11,451.054258
10.25,11,462.121769
1.041667,2,464.136776
10.0,11,475.208836
1.125,2,477.242372
1.041667,2,479.261963
9.375,11,490.343894
9.125,11,501.379208
1.125,2,503.441957
8.875,11,514.627945
9.375,11,528.24879
9.0,11,539.278747
9.375,11,550.456962
9.791667,11,561.513192
9.916667,11,572.509476
9.291667,11,583.7048
1.166667,2,585.807866
9.583333,11,596.881082
9.666667,11,607.975525
9.25,11,619.138703
9.833333,11,630.317091
10.541667,11,641.398719
9.0,11,652.55598
10.75,11,663.666576
10.541667,11,674.784696
10.5,11,685.902634
10.208333,11,697.026586
10.083333,11,708.197976
9.458333,11,719.438926
10.375,11,730.660583
5.458333,7,737.672502
10.041667,11,748.795948
9.625,11,759.963568
10.416667,11,771.020961
9.5,11,782.136905
9.458333,11,796.006879
9.958333,11,807.07887
9.375,11,818.215426
9.041667,11,829.388301
1.083333,2,831.44136
6.416667,8,839.523563
2.875,4,843.556701
7.458333,9,852.606837
6.791667,8,860.816229
10.875,11,872.092234
10.25,11,883.183072
9.416667,11,894.289795
1.0,2,896.34211
10.041667,11,907.465456
4.791667,6,913.574754
3.916667,5,918.618443
9.166667,11,929.716526
9.291667,11,940.873849
10.458333,11,951.912457
8.958333,11,962.947362
7.416667,9,972.05371
10.416667,11,983.151284
9.833333,11,994.251346
10.583333,11,1005.380973
6.791667,8,1013.489679
9.333333,11,1024.630455
9.458333,11,1035.79621
9.291667,11,1049.934861
9.5,11,1060.999156
10.0,11,1072.09183
9.083333,11,1083.180924
10.75,11,1094.238108
9.541667,11,1105.365623
10.375,11,1116.486748
9.791667,11,1127.699855
9.541667,11,1138.761855
7.541667,9,1147.826396
9.541667,11,1158.933312
9.75,11,1169.983035
10.041667,11,1180.996329
9.875,11,1192.10284
1.083333,2,1194.10976
10.041667,11,1205.171833
10.041667,11,1216.221351
9.166667,11,1227.444369
8.916667,11,1238.547601
4.541667,6,1244.587693
9.75,11,1255.646451
1.083333,2,1257.686909
10.291667,11,1268.786096
9.291667,11,1279.888596
10.25,11,1290.922261
9.208333,11,1302.02018
8.916667,11,1316.468583
9.958333,11,1327.453459
9.875,11,1338.520871
9.208333,11,1349.624768
9.125,11,1360.537838
9.541667,11,1371.758879
1.791667,3,1374.721179
10.041667,11,1385.705833
9.083333,11,1396.71768
9.875,11,1407.754451
10.166667,11,1418.771981
8.958333,11,1429.848762
9.25,11,1440.82628
9.75,11,1451.74243
9.0,11,1462.818327
1.125,2,1464.80557
10.125,11,1475.838522
9.708333,11,1486.890899
9.458333,11,1497.858722
8.791667,10,1508.030112
9.875,11,1519.008176
10.166667,11,1529.975776
1.083333,2,1531.954401
9.875,11,1542.952354
9.875,11,1554.001559
9.041667,11,1565.008368
9.125,11,1579.189861
9.291667,11,1590.206791
9.666667,11,1604.601771
9.291667,11,1615.579185
9.666667,11,1626.47426
9.625,11,1637.437468
3.708333,5,1642.482148
9.125,11,1653.505955
9.875,11,1664.559309
9.25,11,1675.551695
9.25,11,1686.538257
9.791667,11,1697.645192
9.333333,11,1708.714875
9.291667,11,1719.744449
9.416667,11,1730.804972
8.958333,11,1741.893109
10.333333,11,1752.828455
9.458333,11,1763.787275
8.875,11,1774.836933
9.333333,11,1785.79103
10.25,11,1796.822163
9.333333,11,1807.943863
9.875,11,1818.966053
9.208333,11,1829.918902
9.083333,11,1843.861826
9.333333,11,1854.928589
9.125,11,1865.892968
8.958333,11,1876.968623
9.5,11,1888.012668
10.291667,11,1898.929421
9.208333,11,1909.954902
10.208333,11,1921.013686
9.125,11,1931.972632
9.166667,11,1943.05913
9.083333,11,1954.154714
9.125,11,1965.198513
9.666667,11,1976.094012
9.125,11,1987.192253
8.958333,11,1998.249173
9.125,11,2009.298531
9.416667,11,2020.302725
9.458333,11,2031.375538
9.083333,11,2042.40272
9.666667,11,2053.336788
9.416667,11,2064.387277
9.041667,11,2075.405147
9.791667,11,2086.471521
9.125,11,2100.306226
9.291667,11,2111.34368
9.208333,11,2122.350518
9.125,11,2133.378121
9.125,11,2144.439752
9.333333,11,2155.451507
9.666667,11,2166.481792
9.0,11,2177.604069
9.583333,11,2188.606463
9.0,11,2199.586212
9.416667,11,2210.559268
9.083333,11,2221.667897
9.708333,11,2232.700595
10.0,11,2243.658917
9.041667,11,2254.63287
9.041667,11,2265.683281
9.166667,11,2276.707072
9.083333,11,2287.718489
9.791667,11,2298.788234
9.166667,11,2309.923576
9.958333,11,2320.933682
9.166667,11,2331.934238
9.125,11,2342.922717
8.958333,11,2356.603853
9.25,11,2367.686606
9.583333,11,2378.74947
9.166667,11,2389.84643
9.083333,11,2400.821161
10.041667,11,2411.87367
9.166667,11,2422.903289
9.166667,11,2433.909157
9.166667,11,2444.921474
9.125,11,2455.97285
