#{"t_start": 1729092630.0786114, "env_id": "roundabout-v0"}
r,l,t
10.083333,11,13.003759
9.291667,11,24.066359
10.375,11,35.129716
9.375,11,46.171597
9.083333,11,57.29241
1.791667,3,60.34511
1.041667,2,62.391124
10.166667,11,73.680862
10.375,11,84.898623
10.291667,11,95.961797
9.458333,11,106.984481
9.041667,11,118.129097
9.166667,11,129.271677
1.791667,3,132.398149
10.291667,11,143.439783
10.541667,11,154.591506
1.083333,2,156.663605
9.333333,11,167.73829
4.791667,6,173.733275
9.333333,11,184.999614
10.708333,11,195.994854
10.125,11,207.272919
9.583333,11,218.379562
9.166667,11,229.409095
9.791667,11,240.568051
8.958333,11,251.658656
1.166667,2,253.658718
4.708333,6,259.717508
4.833333,6,269.280311
10.666667,11,280.492476
9.083333,11,291.59529
4.833333,6,297.739673
9.0,11,308.854947
10.208333,11,320.04254
9.0,11,331.095673
1.166667,2,333.113477
10.333333,11,344.289501
6.625,8,352.440705
10.083333,11,363.534981
5.0,6,369.590305
1.041667,2,371.627004
9.375,11,382.835339
9.0,11,393.918865
9.75,11,405.025369
9.25,11,416.139595
9.666667,11,427.17053
9.583333,11,438.166506
1.125,2,440.251233
9.416667,11,451.30894
10.125,11,462.37191
1.041667,2,464.387419
10.416667,11,475.462406
9.125,11,486.508284
2.958333,4,490.602376
9.5,11,501.646501
9.833333,11,512.851916
9.5,11,526.468383
10.166667,11,537.535635
7.5,9,546.677959
9.166667,11,557.750828
5.583333,7,564.787799
4.541667,6,570.737074
1.0,2,572.765095
9.125,11,583.953463
9.583333,11,595.112413
10.541667,11,606.148546
1.041667,2,608.231418
9.916667,11,619.395964
2.875,4,623.43068
3.791667,5,628.503502
10.5,11,639.584827
9.958333,11,650.76832
9.291667,11,661.916365
9.708333,11,672.980275
9.916667,11,684.151993
9.666667,11,695.256368
9.833333,11,706.355183
9.25,11,717.636981
1.0,2,719.701156
10.666667,11,730.903803
1.041667,2,732.921229
9.125,11,743.962683
5.583333,7,751.101841
9.833333,11,762.231381
10.833333,11,773.264763
9.166667,11,784.427854
10.25,11,798.300157
9.416667,11,809.385247
8.916667,11,820.505039
9.833333,11,831.702246
10.208333,11,842.789701
9.208333,11,853.897405
5.666667,7,861.101672
9.291667,11,872.365844
9.291667,11,883.449216
