#{"t_start": 1729092629.9765747, "env_id": "roundabout-v0"}
r,l,t
10.0,11,12.573855
9.041667,11,23.637297
10.416667,11,34.715238
8.916667,11,45.761274
9.125,11,56.899074
10.0,11,68.172812
2.916667,4,72.24387
10.083333,11,83.443808
9.541667,11,94.608253
10.416667,11,105.595004
9.083333,11,116.708274
10.666667,11,127.862284
1.041667,2,129.877002
9.583333,11,141.052955
10.041667,11,152.156816
9.666667,11,163.351322
9.583333,11,174.379662
9.083333,11,185.604483
9.75,11,196.596516
1.125,2,198.629901
9.916667,11,209.905672
10.083333,11,220.978337
9.625,11,232.053459
4.833333,6,238.11792
1.166667,2,240.151544
8.833333,11,251.23763
9.375,11,265.800759
9.25,11,276.985106
5.583333,7,284.105577
9.25,11,295.213307
1.791667,3,298.375352
9.416667,11,309.479922
10.708333,11,320.653268
9.291667,11,331.709531
5.583333,7,338.879212
10.125,11,349.978964
9.541667,11,361.066952
10.416667,11,372.254546
9.708333,11,383.445413
3.041667,4,387.53694
10.375,11,398.57793
10.041667,11,409.665606
9.75,11,420.785081
9.708333,11,431.72917
4.625,6,437.768048
9.083333,11,448.862689
9.916667,11,459.958513
4.708333,6,465.98165
9.833333,11,477.075304
9.958333,11,488.185882
2.041667,3,491.2149
9.416667,11,502.253324
1.166667,2,504.318926
9.375,11,515.487557
9.833333,11,529.108663
9.416667,11,540.143844
9.666667,11,551.327325
10.166667,11,562.35986
9.958333,11,573.393138
9.75,11,584.623161
10.291667,11,595.721264
10.625,11,606.764973
9.458333,11,617.966309
9.083333,11,629.131575
9.5,11,640.226748
6.458333,8,648.348332
9.875,11,659.529701
8.875,11,670.579556
9.875,11,681.724585
9.041667,11,692.834321
1.166667,2,694.862941
9.375,11,705.962793
3.0,4,710.072411
9.25,11,721.346331
9.5,11,732.516237
10.583333,11,743.546235
10.0,11,754.741141
9.125,11,765.843794
9.5,11,776.915343
10.25,11,790.793236
10.208333,11,801.930942
9.625,11,813.022803
10.083333,11,824.175735
10.041667,11,835.369838
9.416667,11,846.40802
10.125,11,857.565394
1.0,2,859.629111
9.916667,11,870.887798
9.708333,11,882.074928
9.041667,11,893.146104
5.833333,7,900.266951
9.916667,11,911.368185
10.083333,11,922.453673
9.0,11,933.577312
5.625,7,940.712874
9.083333,11,951.745134
9.166667,11,962.766424
9.041667,11,973.895974
9.333333,11,985.012192
4.875,6,991.072535
9.291667,11,1002.203061
1.166667,2,1004.248107
9.5,11,1015.358622
10.791667,11,1026.502931
9.333333,11,1037.679271
10.083333,11,1051.799517
9.291667,11,1062.822701
10.5,11,1073.952152
9.416667,11,1085.002333
9.916667,11,1096.048151
2.083333,3,1099.12137
10.083333,11,1110.273166
9.416667,11,1121.494422
9.125,11,1132.5489
9.5,11,1143.598393
9.583333,11,1154.69933
10.5,11,1165.817121
10.041667,11,1176.855607
10.041667,11,1187.889766
9.416667,11,1199.055661
6.625,8,1207.075568
10.166667,11,1218.236443
8.833333,11,1229.334774
10.458333,11,1240.419252
9.041667,11,1251.452771
9.208333,11,1262.562501
1.166667,2,1264.591794
9.333333,11,1275.714958
9.125,11,1286.773521
9.625,11,1297.868782
2.875,4,1301.859219
