#{"t_start": 1729092629.9511242, "env_id": "roundabout-v0"}
r,l,t
9.666667,11,12.455693
1.166667,2,14.526907
9.375,11,25.605842
9.75,11,36.671729
5.458333,7,43.682605
9.458333,11,54.779141
10.125,11,65.962687
1.083333,2,68.065795
10.541667,11,79.199674
1.166667,2,81.264758
2.958333,4,85.410772
9.666667,11,96.466137
9.541667,11,107.496034
2.0,3,110.556489
9.375,11,121.675181
9.708333,11,132.907088
9.166667,11,143.957401
2.916667,4,148.051404
10.0,11,159.24694
9.541667,11,170.24009
9.625,11,181.49441
10.041667,11,192.488164
10.625,11,203.61216
9.916667,11,214.80612
9.833333,11,225.899165
9.75,11,237.00104
9.291667,11,248.054162
9.208333,11,259.173528
9.125,11,273.839753
9.958333,11,285.028169
9.708333,11,296.133703
4.416667,6,302.279409
10.041667,11,313.465693
10.791667,11,324.566672
9.625,11,335.73285
10.083333,11,346.838063
1.791667,3,349.869094
10.25,11,360.961139
9.541667,11,372.145389
9.916667,11,383.33821
9.291667,11,394.419895
9.958333,11,405.52822
9.375,11,416.646344
9.916667,11,427.673382
9.625,11,438.67858
9.833333,11,449.760781
9.208333,11,460.865414
8.958333,11,471.948563
9.083333,11,483.066622
9.666667,11,494.133702
10.083333,11,505.223904
10.333333,11,516.415836
9.458333,11,530.052644
9.0,11,541.17949
10.083333,11,552.279413
9.916667,11,563.288237
9.541667,11,574.340648
10.041667,11,585.550389
1.041667,2,587.643486
9.791667,11,598.685411
1.166667,2,600.670701
9.541667,11,611.800079
10.541667,11,622.935984
10.833333,11,634.052001
10.083333,11,645.211213
1.0,2,647.251063
9.833333,11,658.4385
9.375,11,669.470267
6.291667,8,677.595422
1.875,3,680.62128
9.583333,11,691.726625
10.708333,11,702.854569
9.25,11,714.049129
1.083333,2,716.060278
10.291667,11,727.304443
9.791667,11,738.414494
10.125,11,749.556601
10.625,11,760.733139
10.375,11,771.786729
10.75,11,782.929202
3.0,4,789.707389
9.083333,11,800.829921
9.291667,11,811.917792
9.375,11,823.05687
10.5,11,834.247548
9.208333,11,845.321029
9.666667,11,856.460967
8.916667,11,867.689359
9.291667,11,878.985155
9.125,11,890.006989
9.708333,11,901.17678
9.375,11,912.282794
9.333333,11,923.39014
9.666667,11,934.513933
9.666667,11,945.647972
3.791667,5,950.663299
10.583333,11,961.67388
9.166667,11,972.804546
9.5,11,983.916548
9.208333,11,995.028291
9.791667,11,1006.156377
9.541667,11,1017.297469
9.375,11,1028.41402
9.708333,11,1039.618563
9.041667,11,1053.686066
1.083333,2,1055.704546
9.541667,11,1066.7237
9.666667,11,1077.908781
9.041667,11,1088.980059
10.291667,11,1100.041308
9.875,11,1111.200772
9.166667,11,1122.436651
10.041667,11,1133.481109
9.333333,11,1144.546394
9.125,11,1155.668708
9.208333,11,1166.750138
1.791667,3,1169.73643
9.25,11,1180.745097
9.958333,11,1191.825653
10.291667,11,1202.956866
1.083333,2,1204.9252
10.333333,11,1215.972139
9.125,11,1227.191283
9.833333,11,1238.299419
7.583333,9,1247.351544
1.791667,3,1250.375242
9.875,11,1261.479199
10.166667,11,1272.595245
9.541667,11,1283.629186
9.541667,11,1294.712495
9.458333,11,1305.799201
9.5,11,1320.240958
10.125,11,1331.208949
9.583333,11,1342.275817
9.791667,11,1353.331829
10.0,11,1364.236251
9.041667,11,1375.492135
10.458333,11,1386.467255
9.166667,11,1397.543003
9.333333,11,1408.516265
9.083333,11,1419.59792
9.958333,11,1430.591995
9.333333,11,1441.568803
9.333333,11,1452.490972
9.791667,11,1463.561213
10.208333,11,1474.58158
9.166667,11,1485.64333
10.083333,11,1496.58983
9.291667,11,1507.772737
9.791667,11,1518.75255
10.083333,11,1529.723716
9.208333,11,1540.752437
9.208333,11,1551.782262
9.375,11,1562.805294
9.291667,11,1576.957363
9.125,11,1587.9773
9.958333,11,1602.38528
9.5,11,1613.365087
9.375,11,1624.290443
9.25,11,1635.180316
9.791667,11,1646.279943
9.208333,11,1657.324228
9.666667,11,1668.34643
9.125,11,1679.312465
10.333333,11,1690.338616
10.25,11,1701.391733
9.208333,11,1712.441397
9.541667,11,1723.559654
10.916667,11,1734.574536
9.041667,11,1745.635955
10.708333,11,1756.563199
9.125,11,1767.590913
9.333333,11,1778.615586
9.291667,11,1789.587664
9.208333,11,1800.647274
3.958333,5,1805.671324
9.625,11,1816.693953
2.083333,3,1819.711512
1.041667,2,1821.679716
4.791667,6,1827.652147
