#{"t_start": 1729092630.0406833, "env_id": "roundabout-v0"}
r,l,t
7.291667,9,10.860485
10.458333,11,21.920116
1.791667,3,24.921087
9.958333,11,36.0115
9.166667,11,47.082093
3.75,5,52.120602
10.0,11,63.244967
9.083333,11,74.518912
5.625,7,81.636554
9.875,11,92.841367
9.208333,11,103.835119
10.625,11,114.913479
10.375,11,126.03377
9.25,11,137.299095
1.125,2,139.293248
9.291667,11,150.390767
9.5,11,161.56654
9.458333,11,172.592187
10.25,11,183.87932
9.375,11,194.861593
10.666667,11,206.036997
9.125,11,217.202494
4.666667,6,223.239755
9.416667,11,234.340607
9.208333,11,245.409278
9.208333,11,256.525972
9.333333,11,271.151405
6.583333,8,279.312236
9.291667,11,290.452829
8.416667,10,300.644791
1.083333,2,302.650302
1.041667,2,304.660517
1.791667,3,307.683777
2.833333,4,311.769958
10.583333,11,322.881128
9.916667,11,333.971265
1.75,3,337.095218
9.666667,11,348.172509
10.75,11,359.293326
10.125,11,370.452251
9.625,11,381.685499
10.416667,11,392.771243
10.458333,11,403.878979
1.083333,2,405.882349
9.875,11,417.00938
10.208333,11,428.013414
10.666667,11,439.025271
9.25,11,450.123026
9.875,11,461.221665
9.75,11,472.300337
10.375,11,483.4189
4.75,6,489.458612
10.666667,11,500.487062
10.541667,11,511.711895
9.208333,11,522.737637
1.166667,2,527.339266
9.416667,11,538.382289
1.166667,2,540.40593
9.25,11,551.581285
9.25,11,562.606837
9.916667,11,573.648319
9.833333,11,584.88223
10.208333,11,595.967288
9.166667,11,607.035215
10.166667,11,618.216228
9.375,11,629.402901
9.125,11,640.492121
9.125,11,651.635535
3.541667,5,656.773391
10.75,11,667.811277
9.125,11,678.965035
2.083333,3,682.007878
7.541667,9,691.06655
4.833333,6,697.148765
1.166667,2,699.227537
9.708333,11,710.335375
9.041667,11,721.598648
9.125,11,732.765578
10.666667,11,743.804427
9.083333,11,754.998792
10.333333,11,766.109398
9.083333,11,777.216299
9.541667,11,791.051155
9.25,11,802.181468
10.0,11,813.291921
9.666667,11,824.429952
9.083333,11,835.621901
10.083333,11,846.657223
9.333333,11,857.838151
1.958333,3,860.936239
10.291667,11,872.207885
10.166667,11,883.288212
10.166667,11,894.394352
10.125,11,905.517281
3.916667,5,910.591595
3.875,5,915.657046
10.041667,11,926.785745
9.875,11,937.927065
10.125,11,948.962988
10.416667,11,959.986714
9.041667,11,971.129478
9.5,11,982.243301
9.041667,11,993.357905
7.5,10,1003.46829
9.708333,11,1014.583995
2.958333,4,1018.731965
5.583333,7,1025.733399
1.0,2,1027.757303
10.333333,11,1038.943036
9.333333,11,1053.037569
9.25,11,1064.057927
9.083333,11,1075.205109
9.25,11,1086.256043
9.041667,11,1097.34369
10.916667,11,1108.521006
8.458333,10,1118.674736
1.083333,2,1120.730951
10.583333,11,1131.804503
9.666667,11,1142.848913
10.25,11,1153.952696
9.5,11,1165.050288
9.75,11,1176.092465
8.166667,10,1186.10846
9.25,11,1197.301751
10.208333,11,1208.391961
9.125,11,1219.53012
9.708333,11,1230.606416
9.125,11,1241.680787
9.708333,11,1252.706461
9.041667,11,1263.81313
5.083333,6,1269.903855
9.166667,11,1280.971003
10.625,11,1292.053427
9.875,11,1303.143778
9.708333,11,1317.602163
9.0,11,1328.572906
9.291667,11,1339.650877
9.125,11,1350.750759
9.75,11,1361.625435
9.125,11,1372.857706
1.083333,2,1374.83232
8.583333,10,1384.811834
9.166667,11,1395.82143
10.291667,11,1406.805065
1.083333,2,1408.866715
9.125,11,1419.933251
9.833333,11,1430.939872
9.333333,11,1441.91156
9.375,11,1452.844553
9.375,11,1463.908562
4.625,6,1469.940226
9.416667,11,1480.979736
9.0,11,1491.934302
9.0,11,1503.002553
9.0,11,1514.088117
9.125,11,1525.03338
9.166667,11,1536.046217
9.166667,11,1547.062551
7.5,9,1556.133395
10.416667,11,1567.172652
9.291667,11,1581.326138
10.166667,11,1592.338154
9.375,11,1606.678248
9.5,11,1617.684585
9.541667,11,1628.628801
9.708333,11,1639.584981
10.166667,11,1650.664475
10.333333,11,1661.722917
9.291667,11,1672.707897
9.333333,11,1683.680618
9.291667,11,1694.738332
10.875,11,1705.73647
9.333333,11,1716.82054
9.916667,11,1727.913646
10.75,11,1738.944065
9.375,11,1749.961148
10.708333,11,1760.919685
9.041667,11,1771.965702
1.083333,2,1773.943437
9.666667,11,1784.894983
9.0,11,1795.90287
9.041667,11,1807.015257
10.541667,11,1818.051699
9.958333,11,1829.016033
9.083333,11,1842.941428
8.958333,11,1853.987931
9.291667,11,1864.948861
9.416667,11,1876.028057
10.0,11,1887.090883
9.083333,11,1898.011259
9.125,11,1909.025084
1.0,2,1911.051517
9.083333,11,1922.105995
9.041667,11,1933.046736
9.041667,11,1944.179646
9.041667,11,1955.255474
9.208333,11,1966.298692
9.0,11,1977.206701
9.375,11,1988.315724
9.0,11,1999.338147
9.041667,11,2010.367371
9.083333,11,2021.410249
9.166667,11,2032.457669
9.75,11,2043.475576
9.166667,11,2054.411194
9.125,11,2065.490956
9.208333,11,2076.516582
9.083333,11,2087.609743
9.083333,11,2101.394755
9.541667,11,2112.435641
9.041667,11,2123.456257
9.125,11,2134.4794
9.291667,11,2145.528874
9.0,11,2156.550473
9.166667,11,2167.58638
9.208333,11,2178.699258
9.041667,11,2189.683921
9.291667,11,2200.654352
9.583333,11,2211.666538
9.416667,11,2222.757879
8.958333,11,2233.810132
9.083333,11,2244.748852
9.083333,11,2255.717674
9.25,11,2266.771523
9.333333,11,2277.803749
9.083333,11,2288.806045
9.166667,11,2299.893683
9.25,11,2311.009874
9.791667,11,2322.015075
9.458333,11,2333.014247
9.125,11,2344.03032
9.166667,11,2357.741511
9.083333,11,2368.781929
9.416667,11,2379.825629
9.333333,11,2390.929665
9.208333,11,2401.903586
9.458333,11,2412.957108
9.166667,11,2423.988712
9.125,11,2434.979696
9.25,11,2446.015184
9.0,11,2457.063154
8.958333,11,2468.149413
9.041667,11,2479.123026
9.166667,11,2490.144353
9.125,11,2501.169011
9.416667,11,2512.206869
9.25,11,2523.228084
9.125,11,2534.311873
9.291667,11,2545.396179
9.25,11,2556.433572
9.083333,11,2567.597351
9.25,11,2578.700211
9.791667,11,2589.699112
9.083333,11,2600.790291
9.125,11,2614.845437
9.0,11,2625.947686
9.458333,11,2636.991131
9.0,11,2648.016741
8.958333,11,2659.11939
9.041667,11,2670.135856
9.208333,11,2681.232079
9.041667,11,2692.307259
9.125,11,2703.359301
9.083333,11,2714.390516
9.083333,11,2725.481263
9.125,11,2736.502764
9.125,11,2747.552162
9.125,11,2758.565777
9.333333,11,2769.649352
9.125,11,2780.763547
9.416667,11,2791.699276
10.166667,11,2802.853698
9.166667,11,2814.000515
9.333333,11,2825.047641
9.166667,11,2836.17356
9.125,11,2847.33643
9.0,11,2858.490728
9.458333,11,2869.459278
9.125,11,2883.400839
8.958333,11,2894.504299
9.083333,11,2905.542422
9.125,11,2916.520864
9.083333,11,2927.698872
9.166667,11,2938.806693
9.458333,11,2949.773642
9.0,11,2960.82508
9.041667,11,2971.959443
9.041667,11,2983.02965
9.291667,11,2994.052914
9.75,11,3005.112104
9.041667,11,3016.105321
9.125,11,3027.04645
9.333333,11,3038.139357
9.125,11,3049.292084
9.125,11,3060.319961
9.125,11,3071.272039
9.083333,11,3082.321118
9.041667,11,3093.39052
9.083333,11,3104.362021
9.541667,11,3115.431596
9.125,11,3126.583616
9.0,11,3140.803612
9.375,11,3151.788672
9.416667,11,3162.861803
9.291667,11,3173.962868
9.0,11,3184.933506
9.25,11,3199.501586
9.041667,11,3210.551169
9.375,11,3221.564416
9.125,11,3232.721126
9.083333,11,3243.703606
9.125,11,3254.65341
9.083333,11,3265.637288
9.125,11,3276.624434
9.041667,11,3287.629731
9.125,11,3298.621891
9.083333,11,3309.637595
9.125,11,3320.554556
9.083333,11,3331.540376
9.041667,11,3342.549971
9.0,11,3353.477196
9.291667,11,3364.475756
9.083333,11,3375.469743
9.416667,11,3386.505404
9.208333,11,3400.174926
9.041667,11,3411.20062
9.0,11,3422.25496
9.166667,11,3433.288482
9.083333,11,3444.294364
9.125,11,3455.317643
9.083333,11,3466.238382
9.083333,11,3477.230175
9.25,11,3488.197562
9.0,11,3499.186623
9.125,11,3510.169317
9.208333,11,3521.198095
9.166667,11,3532.272865
9.041667,11,3543.288898
9.083333,11,3554.39252
9.25,11,3565.428802
9.083333,11,3576.547933
9.166667,11,3587.538694
9.0,11,3598.635986
9.083333,11,3609.638226
9.0,11,3620.64906
9.041667,11,3631.706491
9.25,11,3642.793092
9.083333,11,3656.582466
9.0,11,3667.621391
9.125,11,3678.601208
9.083333,11,3689.609545
1.041667,2,3691.634982
9.125,11,3702.569522
9.041667,11,3713.579537
9.0,11,3724.614106
9.083333,11,3735.585449
8.958333,11,3746.598253
9.083333,11,3757.659632
8.958333,11,3768.694076
9.083333,11,3779.624366
9.041667,11,3790.632377
9.041667,11,3801.685831
9.166667,11,3812.771373
1.666667,3,3815.772365
9.125,11,3826.848003
9.041667,11,3837.810272
9.041667,11,3848.757048
9.041667,11,3859.734963
9.166667,11,3870.776703
9.083333,11,3881.860384
9.041667,11,3892.823488
9.041667,11,3903.851482
9.166667,11,3918.134635
9.041667,11,3929.187721
9.208333,11,3940.2112
9.125,11,3951.306724
9.083333,11,3962.400553
9.041667,11,3973.324401
9.125,11,3984.320312
9.125,11,3995.414774
9.041667,11,4006.456528
9.25,11,4017.58233
9.166667,11,4028.67262
9.166667,11,4039.719914
9.125,11,4050.716358
9.125,11,4061.728888
9.041667,11,4072.808141
9.041667,11,4083.872683
9.083333,11,4094.887217
9.166667,11,4105.972934
9.333333,11,4117.130566
9.125,11,4128.140386
9.125,11,4139.227321
9.041667,11,4150.340223
9.083333,11,4161.371693
9.166667,11,4175.244226
9.166667,11,4186.339557
9.125,11,4197.422719
9.083333,11,4208.371053
9.166667,11,4219.443754
9.125,11,4230.468871
9.166667,11,4241.431522
9.166667,11,4252.460597
9.125,11,4263.501338
9.083333,11,4274.487978
9.25,11,4285.520123
9.125,11,4296.629126
9.375,11,4307.741802
9.083333,11,4318.801745
9.25,11,4329.816281
9.166667,11,4340.831094
9.125,11,4351.868382
9.166667,11,4362.912522
9.125,11,4374.042126
9.083333,11,4385.141814
9.083333,11,4396.086459
9.083333,11,4407.20704
9.041667,11,4418.332804
9.083333,11,4429.379036
9.083333,11,4443.28939
9.125,11,4454.510856
9.0,11,4465.572464
9.0,11,4476.600154
9.041667,11,4487.674859
9.166667,11,4498.84173
9.125,11,4509.906968
9.125,11,4520.87856
9.166667,11,4531.960938
9.125,11,4543.028399
9.125,11,4554.001488
9.083333,11,4564.98489
9.125,11,4576.095101
9.166667,11,4587.197737
9.25,11,4598.182738
9.125,11,4609.237099
9.083333,11,4620.315374
9.083333,11,4631.342164
9.166667,11,4642.307328
9.083333,11,4653.379148
